"","V2","V0","V1","V3.x","V4","V5","V6","V7","V8","V9","V10","V11","V12","X","Standardized","V3.y","lon","lat"
"1","Asti",7,3,"Asti","PROPN","SP","_",1,"obl","_","SpaceAfter=No",NA,NA,34,"Asti","Asti",8.2064257,44.9007512
"2","Asti",7,3,"Asti","PROPN","SP","_",1,"obl","_","SpaceAfter=No",NA,NA,32,"Asti","Asti",8.2064257,44.9007512
"3","Asti",7,3,"Asti","PROPN","SP","_",1,"obl","_","SpaceAfter=No",NA,NA,33,"Asti","Asti",8.2064257,44.9007512
"4","Asti",202,19,"Asti","PROPN","SP","_",17,"flat:name","_","_",NA,NA,34,"Asti","Asti",8.2064257,44.9007512
"5","Asti",202,19,"Asti","PROPN","SP","_",17,"flat:name","_","_",NA,NA,32,"Asti","Asti",8.2064257,44.9007512
"6","Asti",202,19,"Asti","PROPN","SP","_",17,"flat:name","_","_",NA,NA,33,"Asti","Asti",8.2064257,44.9007512
"7","Ferrara",195,12,"Ferrara","PROPN","SP","_",9,"nmod","_","SpaceAfter=No",NA,NA,80,"Ferrara","Ferrara",11.619787,44.8381237
"8","Ferrara",195,12,"Ferrara","PROPN","SP","_",9,"nmod","_","SpaceAfter=No",NA,NA,79,"Ferrara","Ferrara",11.619787,44.8381237
"9","Ferrara",226,42,"Ferrara","PROPN","SP","_",40,"obl","_","_",NA,NA,80,"Ferrara","Ferrara",11.619787,44.8381237
"10","Ferrara",226,42,"Ferrara","PROPN","SP","_",40,"obl","_","_",NA,NA,79,"Ferrara","Ferrara",11.619787,44.8381237
"11","Bologna",208,25,"Bologna","PROPN","SP","_",23,"obl","_","SpaceAfter=No",NA,NA,44,"Bologna","Bologna",11.3426162,44.494887
"12","Verona",230,46,"Verona","PROPN","SP","_",44,"obl","_","SpaceAfter=No",NA,NA,261,"Verona","Verona",10.9916215,45.4383842
