"","V2","V0","V1","V3.x","V4","V5","V6","V7","V8","V9","V10","V11","V12","X","Standardized","V3.y","lon","lat"
"1","Monaco",7,3,"Monaco","PROPN","SP","_",1,"nmod","_","_",NA,NA,210,"Principato di Monaco","Monaco",7.4246158,43.7384176
"2","Monaco",7,3,"Monaco","PROPN","SP","_",1,"nmod","_","_",NA,NA,211,"Principato di Monaco","Monaco",7.4246158,43.7384176
"3","Monaco",7,3,"Monaco","PROPN","SP","_",1,"nmod","_","_",NA,NA,212,"Principato di Monaco","Monaco",7.4246158,43.7384176
"4","Monaco",7,3,"Monaco","PROPN","SP","_",1,"nmod","_","_",NA,NA,213,"Principato di Monaco","Monaco",7.4246158,43.7384176
"5","Monaco",1210,86,"Monaco","PROPN","SP","_",83,"conj","_","_",NA,NA,210,"Principato di Monaco","Monaco",7.4246158,43.7384176
"6","Monaco",1210,86,"Monaco","PROPN","SP","_",83,"conj","_","_",NA,NA,211,"Principato di Monaco","Monaco",7.4246158,43.7384176
"7","Monaco",1210,86,"Monaco","PROPN","SP","_",83,"conj","_","_",NA,NA,212,"Principato di Monaco","Monaco",7.4246158,43.7384176
"8","Monaco",1210,86,"Monaco","PROPN","SP","_",83,"conj","_","_",NA,NA,213,"Principato di Monaco","Monaco",7.4246158,43.7384176
"9","Monaco",1177,54,"Monaco","PROPN","SP","_",55,"obl","_","_",NA,NA,210,"Principato di Monaco","Monaco",7.4246158,43.7384176
"10","Monaco",1177,54,"Monaco","PROPN","SP","_",55,"obl","_","_",NA,NA,211,"Principato di Monaco","Monaco",7.4246158,43.7384176
"11","Monaco",1177,54,"Monaco","PROPN","SP","_",55,"obl","_","_",NA,NA,212,"Principato di Monaco","Monaco",7.4246158,43.7384176
"12","Monaco",1177,54,"Monaco","PROPN","SP","_",55,"obl","_","_",NA,NA,213,"Principato di Monaco","Monaco",7.4246158,43.7384176
"13","Monaco",1308,11,"Monaco","PROPN","SP","_",9,"obl","_","_",NA,NA,210,"Principato di Monaco","Monaco",7.4246158,43.7384176
"14","Monaco",1308,11,"Monaco","PROPN","SP","_",9,"obl","_","_",NA,NA,211,"Principato di Monaco","Monaco",7.4246158,43.7384176
"15","Monaco",1308,11,"Monaco","PROPN","SP","_",9,"obl","_","_",NA,NA,212,"Principato di Monaco","Monaco",7.4246158,43.7384176
"16","Monaco",1308,11,"Monaco","PROPN","SP","_",9,"obl","_","_",NA,NA,213,"Principato di Monaco","Monaco",7.4246158,43.7384176
