"","V2","X","Standardized","V3.x","lon","lat","V0","V1","V3.y","V4","V5","V6","V7","V8","V9","V10","V11","V12"
"1","Acri",1,"Acri","Acri",35.082678,32.933052,3978,35,"Acri","PROPN","SP","_",33,"nmod","_","_",NA,NA
"2","Acri",1,"Acri","Acri",35.082678,32.933052,4073,5,"Acri","PROPN","SP","_",1,"obl","_","_",NA,NA
"3","Alba",4,"Alba (CN)","alba",8.0356911,44.7009153,3740,114,"alba","PROPN","SP","_",111,"obl","_","_",NA,NA
"4","Alessandria",5,"Alessandria d'Egitto","Alessandria",29.9187387,31.2000924,3840,16,"Alessandria","PROPN","SP","_",14,"obl","_","_",NA,NA
"5","Alessandria",5,"Alessandria d'Egitto","Alessandria",29.9187387,31.2000924,47,9,"Alessandria","PROPN","SP","_",7,"obl","_","SpaceAfter=No",NA,NA
"6","Alessandria",10,"Alessandria d'Egitto","Alessandria",29.9187387,31.2000924,3840,16,"Alessandria","PROPN","SP","_",14,"obl","_","_",NA,NA
"7","Alessandria",10,"Alessandria d'Egitto","Alessandria",29.9187387,31.2000924,47,9,"Alessandria","PROPN","SP","_",7,"obl","_","SpaceAfter=No",NA,NA
"8","Alessandria",6,"Alessandria d'Egitto","Alessandria",29.9187387,31.2000924,3840,16,"Alessandria","PROPN","SP","_",14,"obl","_","_",NA,NA
"9","Alessandria",6,"Alessandria d'Egitto","Alessandria",29.9187387,31.2000924,47,9,"Alessandria","PROPN","SP","_",7,"obl","_","SpaceAfter=No",NA,NA
"10","Alessandria",9,"Alessandria d'Egitto","Alessandria",29.9187387,31.2000924,3840,16,"Alessandria","PROPN","SP","_",14,"obl","_","_",NA,NA
"11","Alessandria",9,"Alessandria d'Egitto","Alessandria",29.9187387,31.2000924,47,9,"Alessandria","PROPN","SP","_",7,"obl","_","SpaceAfter=No",NA,NA
"12","Finale",81,"Finale Ligure","finale",8.3416211,44.1689028,3783,26,"finale","PROPN","SP","_",23,"obl","_","SpaceAfter=No",NA,NA
"13","Genova",102,"Genova","Genova",8.946256,44.40565,3050,21,"Genova","PROPN","SP","_",19,"obl","_","SpaceAfter=No",NA,NA
"14","Genova",102,"Genova","Genova",8.946256,44.40565,3610,9,"Genova","PROPN","SP","_",7,"obl","_","_",NA,NA
"15","Genova",102,"Genova","Genova",8.946256,44.40565,7,3,"Genova","PROPN","SP","_",1,"obl","_","SpaceAfter=No",NA,NA
"16","Genova",102,"Genova","Genova",8.946256,44.40565,68,29,"Genova","PROPN","SP","_",27,"obl","_","SpaceAfter=No",NA,NA
"17","Genova",102,"Genova","Genova",8.946256,44.40565,548,11,"Genova","PROPN","SP","_",6,"obl","_","SpaceAfter=No",NA,NA
"18","Genova",102,"Genova","Genova",8.946256,44.40565,3111,6,"Genova","PROPN","SP","_",4,"obl","_","_",NA,NA
"19","Genova",102,"Genova","Genova",8.946256,44.40565,1931,57,"Genova","PROPN","SP","_",55,"obl","_","_",NA,NA
"20","Genova",102,"Genova","Genova",8.946256,44.40565,2992,16,"Genova","PROPN","SP","_",14,"nmod","_","_",NA,NA
"21","Genova",102,"Genova","Genova",8.946256,44.40565,2002,124,"Genova","PROPN","SP","_",122,"obl","_","_",NA,NA
"22","Genova",102,"Genova","Genova",8.946256,44.40565,5261,22,"Genova","PROPN","SP","_",20,"obl","_","_",NA,NA
"23","Genova",102,"Genova","Genova",8.946256,44.40565,2105,18,"Genova","PROPN","SP","_",16,"obl","_","SpaceAfter=No",NA,NA
"24","Genova",106,"Genova","Genova",8.946256,44.40565,3050,21,"Genova","PROPN","SP","_",19,"obl","_","SpaceAfter=No",NA,NA
"25","Genova",106,"Genova","Genova",8.946256,44.40565,3610,9,"Genova","PROPN","SP","_",7,"obl","_","_",NA,NA
"26","Genova",106,"Genova","Genova",8.946256,44.40565,7,3,"Genova","PROPN","SP","_",1,"obl","_","SpaceAfter=No",NA,NA
"27","Genova",106,"Genova","Genova",8.946256,44.40565,68,29,"Genova","PROPN","SP","_",27,"obl","_","SpaceAfter=No",NA,NA
"28","Genova",106,"Genova","Genova",8.946256,44.40565,548,11,"Genova","PROPN","SP","_",6,"obl","_","SpaceAfter=No",NA,NA
"29","Genova",106,"Genova","Genova",8.946256,44.40565,3111,6,"Genova","PROPN","SP","_",4,"obl","_","_",NA,NA
"30","Genova",106,"Genova","Genova",8.946256,44.40565,1931,57,"Genova","PROPN","SP","_",55,"obl","_","_",NA,NA
"31","Genova",106,"Genova","Genova",8.946256,44.40565,2992,16,"Genova","PROPN","SP","_",14,"nmod","_","_",NA,NA
"32","Genova",106,"Genova","Genova",8.946256,44.40565,2002,124,"Genova","PROPN","SP","_",122,"obl","_","_",NA,NA
"33","Genova",106,"Genova","Genova",8.946256,44.40565,5261,22,"Genova","PROPN","SP","_",20,"obl","_","_",NA,NA
"34","Genova",106,"Genova","Genova",8.946256,44.40565,2105,18,"Genova","PROPN","SP","_",16,"obl","_","SpaceAfter=No",NA,NA
"35","Genova",107,"Genova","Genova",8.946256,44.40565,3050,21,"Genova","PROPN","SP","_",19,"obl","_","SpaceAfter=No",NA,NA
"36","Genova",107,"Genova","Genova",8.946256,44.40565,3610,9,"Genova","PROPN","SP","_",7,"obl","_","_",NA,NA
"37","Genova",107,"Genova","Genova",8.946256,44.40565,7,3,"Genova","PROPN","SP","_",1,"obl","_","SpaceAfter=No",NA,NA
"38","Genova",107,"Genova","Genova",8.946256,44.40565,68,29,"Genova","PROPN","SP","_",27,"obl","_","SpaceAfter=No",NA,NA
"39","Genova",107,"Genova","Genova",8.946256,44.40565,548,11,"Genova","PROPN","SP","_",6,"obl","_","SpaceAfter=No",NA,NA
"40","Genova",107,"Genova","Genova",8.946256,44.40565,3111,6,"Genova","PROPN","SP","_",4,"obl","_","_",NA,NA
"41","Genova",107,"Genova","Genova",8.946256,44.40565,1931,57,"Genova","PROPN","SP","_",55,"obl","_","_",NA,NA
