"","V2","V0","V1","V3.x","V4","V5","V6","V7","V8","V9","V10","V11","V12","X","Standardized","V3.y","lon","lat"
"1","Trivigi",2108,16,"Trivigi","PROPN","SP","_",17,"obl","_","_",NA,NA,258,"Treviso","Trivigi",12.2430437,45.6668893
"2","Trivigi",2108,16,"Trivigi","PROPN","SP","_",17,"obl","_","_",NA,NA,260,"Treviso","Trivigi",12.2430437,45.6668893
"3","Trivigi",2108,16,"Trivigi","PROPN","SP","_",17,"obl","_","_",NA,NA,257,"Treviso","Trivigi",12.2430437,45.6668893
"4","Trivigi",2108,16,"Trivigi","PROPN","SP","_",17,"obl","_","_",NA,NA,259,"Treviso","Trivigi",12.2430437,45.6668893
"5","Trivigi",358,12,"Trivigi","PROPN","SP","_",13,"obl","_","_",NA,NA,258,"Treviso","Trivigi",12.2430437,45.6668893
"6","Trivigi",358,12,"Trivigi","PROPN","SP","_",13,"obl","_","_",NA,NA,260,"Treviso","Trivigi",12.2430437,45.6668893
"7","Trivigi",358,12,"Trivigi","PROPN","SP","_",13,"obl","_","_",NA,NA,257,"Treviso","Trivigi",12.2430437,45.6668893
"8","Trivigi",358,12,"Trivigi","PROPN","SP","_",13,"obl","_","_",NA,NA,259,"Treviso","Trivigi",12.2430437,45.6668893
"9","Trivigi",161,13,"Trivigi","PROPN","SP","_",11,"obl","_","_",NA,NA,258,"Treviso","Trivigi",12.2430437,45.6668893
"10","Trivigi",161,13,"Trivigi","PROPN","SP","_",11,"obl","_","_",NA,NA,260,"Treviso","Trivigi",12.2430437,45.6668893
"11","Trivigi",161,13,"Trivigi","PROPN","SP","_",11,"obl","_","_",NA,NA,257,"Treviso","Trivigi",12.2430437,45.6668893
"12","Trivigi",161,13,"Trivigi","PROPN","SP","_",11,"obl","_","_",NA,NA,259,"Treviso","Trivigi",12.2430437,45.6668893
"13","Trivigi",244,40,"Trivigi","PROPN","SP","_",38,"nmod","_","_",NA,NA,258,"Treviso","Trivigi",12.2430437,45.6668893
"14","Trivigi",244,40,"Trivigi","PROPN","SP","_",38,"nmod","_","_",NA,NA,260,"Treviso","Trivigi",12.2430437,45.6668893
"15","Trivigi",244,40,"Trivigi","PROPN","SP","_",38,"nmod","_","_",NA,NA,257,"Treviso","Trivigi",12.2430437,45.6668893
"16","Trivigi",244,40,"Trivigi","PROPN","SP","_",38,"nmod","_","_",NA,NA,259,"Treviso","Trivigi",12.2430437,45.6668893
"17","Firenze",2305,36,"Firenze","PROPN","SP","_",41,"obl","_","_",NA,NA,89,"Firenze","Firenze",11.2558136,43.7695604
"18","Firenze",2305,36,"Firenze","PROPN","SP","_",41,"obl","_","_",NA,NA,82,"Firenze","Firenze",11.2558136,43.7695604
"19","Firenze",2305,36,"Firenze","PROPN","SP","_",41,"obl","_","_",NA,NA,83,"Firenze","Firenze",11.2558136,43.7695604
"20","Firenze",2305,36,"Firenze","PROPN","SP","_",41,"obl","_","_",NA,NA,84,"Firenze","Firenze",11.2558136,43.7695604
"21","Firenze",2305,36,"Firenze","PROPN","SP","_",41,"obl","_","_",NA,NA,85,"Firenze","Firenze",11.2558136,43.7695604
"22","Firenze",2305,36,"Firenze","PROPN","SP","_",41,"obl","_","_",NA,NA,86,"Firenze","Firenze",11.2558136,43.7695604
"23","Firenze",2305,36,"Firenze","PROPN","SP","_",41,"obl","_","_",NA,NA,87,"Firenze","Firenze",11.2558136,43.7695604
"24","Firenze",2305,36,"Firenze","PROPN","SP","_",41,"obl","_","_",NA,NA,88,"Firenze","Firenze",11.2558136,43.7695604
