"","V2","V0","V1","V3.x","V4","V5","V6","V7","V8","V9","V10","V11","V12","X","Standardized","V3.y","lon","lat"
"1","Lunigiana",24,20,"Lunigiana","PROPN","SP","_",18,"obl","_","SpaceAfter=No",NA,NA,152,"Lunigiana (La Spezia)","Lunigiana",9.8373977,44.1188915
"2","Lunigiana",24,20,"Lunigiana","PROPN","SP","_",18,"obl","_","SpaceAfter=No",NA,NA,151,"Lunigiana (La Spezia)","Lunigiana",9.8373977,44.1188915
"3","Lunigiana",24,20,"Lunigiana","PROPN","SP","_",18,"obl","_","SpaceAfter=No",NA,NA,150,"Lunigiana (La Spezia)","Lunigiana",9.8373977,44.1188915
"4","Lunigiana",1756,29,"Lunigiana","PROPN","SP","_",27,"obl","_","_",NA,NA,152,"Lunigiana (La Spezia)","Lunigiana",9.8373977,44.1188915
"5","Lunigiana",1756,29,"Lunigiana","PROPN","SP","_",27,"obl","_","_",NA,NA,151,"Lunigiana (La Spezia)","Lunigiana",9.8373977,44.1188915
"6","Lunigiana",1756,29,"Lunigiana","PROPN","SP","_",27,"obl","_","_",NA,NA,150,"Lunigiana (La Spezia)","Lunigiana",9.8373977,44.1188915
"7","Lunigiana",2462,68,"Lunigiana","PROPN","SP","_",66,"obl","_","SpaceAfter=No",NA,NA,152,"Lunigiana (La Spezia)","Lunigiana",9.8373977,44.1188915
"8","Lunigiana",2462,68,"Lunigiana","PROPN","SP","_",66,"obl","_","SpaceAfter=No",NA,NA,151,"Lunigiana (La Spezia)","Lunigiana",9.8373977,44.1188915
"9","Lunigiana",2462,68,"Lunigiana","PROPN","SP","_",66,"obl","_","SpaceAfter=No",NA,NA,150,"Lunigiana (La Spezia)","Lunigiana",9.8373977,44.1188915
"10","Cicilia",5361,21,"Cicilia","PROPN","SP","_",18,"conj","_","SpaceAfter=No",NA,NA,247,"Sicilia","Cicilia",14.0153557,37.5999938
"11","Cicilia",5361,21,"Cicilia","PROPN","SP","_",18,"conj","_","SpaceAfter=No",NA,NA,235,"Sicilia","Cicilia",14.0153557,37.5999938
"12","Cicilia",5361,21,"Cicilia","PROPN","SP","_",18,"conj","_","SpaceAfter=No",NA,NA,243,"Sicilia","Cicilia",14.0153557,37.5999938
"13","Cicilia",5361,21,"Cicilia","PROPN","SP","_",18,"conj","_","SpaceAfter=No",NA,NA,238,"Sicilia","Cicilia",14.0153557,37.5999938
"14","Cicilia",5361,21,"Cicilia","PROPN","SP","_",18,"conj","_","SpaceAfter=No",NA,NA,245,"Sicilia","Cicilia",14.0153557,37.5999938
"15","Cicilia",5361,21,"Cicilia","PROPN","SP","_",18,"conj","_","SpaceAfter=No",NA,NA,246,"Sicilia","Cicilia",14.0153557,37.5999938
"16","Cicilia",5361,21,"Cicilia","PROPN","SP","_",18,"conj","_","SpaceAfter=No",NA,NA,242,"Sicilia","Cicilia",14.0153557,37.5999938
