"","Standardized","V0","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","Long","Lat","lon","lat"
"44","Bologna",208,25,"Bologna","Bologna","PROPN","SP","_",23,"obl","_","SpaceAfter=No",NA,NA,NA,NA,11.3426162,44.494887
"45","Borgo San Lorenzo (FI)",9256,57,"Cresci","Cresce","PROPN","SP","_",54,"obl","_","_",NA,NA,NA,NA,11.3847483,43.9543788
"46","Borgo San Lorenzo (FI)",9258,59,"Valcava","Valcava","PROPN","SP","_",54,"obl","_","SpaceAfter=No",NA,NA,NA,NA,11.3847483,43.9543788
"47","Brindisi",2296,8,"Brandizio","Brandizio","PROPN","SP","_",6,"obl","_","SpaceAfter=No",NA,NA,NA,NA,17.9417616,40.6327278
"48","Bruges",1388,5,"Bruggia","Bruggia","PROPN","SP","_",3,"nmod","_","_",NA,NA,NA,NA,3.2246995,51.209348
"49","Calais",2041,26,"Calese","Calese","PROPN","SP","_",24,"nmod","_","SpaceAfter=No",NA,NA,NA,NA,1.858686,50.95129
"50","Calais",1843,87,"Calese","Calese","PROPN","SP","_",85,"obl","_","SpaceAfter=No",NA,NA,NA,NA,1.858686,50.95129
"51","Cappadocia",6842,54,"Capadocia","Capadocia","PROPN","SP","_",52,"nmod","_","_",NA,NA,NA,NA,-81.310391,28.551347
"52","Cappadocia",6753,97,"Capadocia","Capadocia","PROPN","SP","_",95,"nmod","_","_",NA,NA,NA,NA,-81.310391,28.551347
"53","Cappadocia",6674,21,"Capadocia","Capadocia","PROPN","SP","_",19,"nmod","_","SpaceAfter=No",NA,NA,NA,NA,-81.310391,28.551347
"54","Cappadocia",6815,29,"Capadocia","Capadocia","PROPN","SP","_",27,"nmod","_","SpaceAfter=No",NA,NA,NA,NA,-81.310391,28.551347
"55","Cefalonia",1153,28,"Cifalonia","Cifalonia","PROPN","SP","_",26,"nmod","_","_",NA,NA,NA,NA,20.5692179,38.1753675
"56","Chio",6506,25,"Chios","Chios","PROPN","SP","_",23,"obl","_","SpaceAfter=No",NA,NA,NA,NA,-97.1193008,32.8316549
"57","Chio",6362,14,"Chios","Chios","PROPN","SP","_",12,"obl","_","SpaceAfter=No",NA,NA,NA,NA,-97.1193008,32.8316549
"58","Cipro",7899,51,"Cipri","Ciprio","PROPN","SP","_",49,"nmod","_","_",NA,NA,NA,NA,-71.1375382,42.6958514
"59","Cipro",393,38,"Cipri","Ciprio","PROPN","SP","_",34,"nmod","_","SpaceAfter=No",NA,NA,NA,NA,-71.1375382,42.6958514
"60","Cipro",9699,28,"Cipri","Ciprio","PROPN","SP","_",26,"nmod","_","SpaceAfter=No",NA,NA,NA,NA,-71.1375382,42.6958514
"61","Cipro",10061,18,"Cipri","Ciprio","PROPN","SP","_",15,"obl","_","_",NA,NA,NA,NA,-71.1375382,42.6958514
"62","Cipro",9403,18,"Cipri","Ciprio","PROPN","SP","_",19,"obl","_","_",NA,NA,NA,NA,-71.1375382,42.6958514
"63","Cipro",9344,68,"Cipri","Ciprio","PROPN","SP","_",66,"nmod","_","SpaceAfter=No",NA,NA,NA,NA,-71.1375382,42.6958514
"64","Cipro",7578,19,"Cipri","Ciprio","PROPN","SP","_",23,"obl","_","_",NA,NA,NA,NA,-71.1375382,42.6958514
"65","Cipro",10030,90,"Cipri","cipri","PROPN","SP","_",88,"nmod","_","_",NA,NA,NA,NA,-71.1375382,42.6958514
"66","Cipro",7611,51,"Cipri","Ciprio","PROPN","SP","_",52,"obl","_","_",NA,NA,NA,NA,-71.1375382,42.6958514
"67","Cipro",9509,89,"Cipri","Ciprio","PROPN","SP","_",95,"obl","_","_",NA,NA,NA,NA,-71.1375382,42.6958514
