"","V2","X","Standardized","V3.x","lon","lat","V0","V1","V3.y","V4","V5","V6","V7","V8","V9","V10","V11","V12"
"1","Asti",34,"Asti","Asti",8.2064257,44.9007512,85,10,"Asti","PROPN","SP","_",8,"nmod","_","_",NA,NA
"2","Asti",32,"Asti","Asti",8.2064257,44.9007512,85,10,"Asti","PROPN","SP","_",8,"nmod","_","_",NA,NA
"3","Asti",33,"Asti","Asti",8.2064257,44.9007512,85,10,"Asti","PROPN","SP","_",8,"nmod","_","_",NA,NA
"4","Bruggia",48,"Bruges","Bruggia",3.2246995,51.209348,1388,5,"Bruggia","PROPN","SP","_",3,"nmod","_","_",NA,NA
"5","Cornovaglia",72,"Cornovaglia","Cornovaglia",-5.0527125,50.2660471,3940,16,"Cornovaglia","PROPN","SP","_",14,"nmod","_","SpaceAfter=No",NA,NA
"6","Firenze",85,"Firenze","Firenze",11.2558136,43.7695604,4009,41,"Firenze","PROPN","SP","_",39,"obl","_","SpaceAfter=No",NA,NA
"7","Firenze",85,"Firenze","Firenze",11.2558136,43.7695604,972,70,"Firenze","PROPN","SP","_",68,"nmod","_","SpaceAfter=No",NA,NA
"8","Firenze",85,"Firenze","Firenze",11.2558136,43.7695604,915,16,"Firenze","PROPN","SP","_",14,"nmod","_","_",NA,NA
"9","Firenze",85,"Firenze","Firenze",11.2558136,43.7695604,846,10,"Firenze","PROPN","SP","_",8,"nmod","_","_",NA,NA
"10","Firenze",85,"Firenze","Firenze",11.2558136,43.7695604,3872,24,"Firenze","PROPN","SP","_",22,"obl","_","SpaceAfter=No",NA,NA
"11","Firenze",85,"Firenze","Firenze",11.2558136,43.7695604,3793,18,"Firenze","PROPN","SP","_",16,"obl","_","SpaceAfter=No",NA,NA
"12","Firenze",85,"Firenze","Firenze",11.2558136,43.7695604,1213,47,"Firenze","PROPN","SP","_",56,"obl","_","_",NA,NA
"13","Firenze",88,"Firenze","Firenze",11.2558136,43.7695604,4009,41,"Firenze","PROPN","SP","_",39,"obl","_","SpaceAfter=No",NA,NA
"14","Firenze",88,"Firenze","Firenze",11.2558136,43.7695604,972,70,"Firenze","PROPN","SP","_",68,"nmod","_","SpaceAfter=No",NA,NA
"15","Firenze",88,"Firenze","Firenze",11.2558136,43.7695604,915,16,"Firenze","PROPN","SP","_",14,"nmod","_","_",NA,NA
"16","Firenze",88,"Firenze","Firenze",11.2558136,43.7695604,846,10,"Firenze","PROPN","SP","_",8,"nmod","_","_",NA,NA
"17","Firenze",88,"Firenze","Firenze",11.2558136,43.7695604,3872,24,"Firenze","PROPN","SP","_",22,"obl","_","SpaceAfter=No",NA,NA
"18","Firenze",88,"Firenze","Firenze",11.2558136,43.7695604,3793,18,"Firenze","PROPN","SP","_",16,"obl","_","SpaceAfter=No",NA,NA
"19","Firenze",88,"Firenze","Firenze",11.2558136,43.7695604,1213,47,"Firenze","PROPN","SP","_",56,"obl","_","_",NA,NA
"20","Firenze",82,"Firenze","Firenze",11.2558136,43.7695604,4009,41,"Firenze","PROPN","SP","_",39,"obl","_","SpaceAfter=No",NA,NA
"21","Firenze",82,"Firenze","Firenze",11.2558136,43.7695604,972,70,"Firenze","PROPN","SP","_",68,"nmod","_","SpaceAfter=No",NA,NA
"22","Firenze",82,"Firenze","Firenze",11.2558136,43.7695604,915,16,"Firenze","PROPN","SP","_",14,"nmod","_","_",NA,NA
"23","Firenze",82,"Firenze","Firenze",11.2558136,43.7695604,846,10,"Firenze","PROPN","SP","_",8,"nmod","_","_",NA,NA
"24","Firenze",82,"Firenze","Firenze",11.2558136,43.7695604,3872,24,"Firenze","PROPN","SP","_",22,"obl","_","SpaceAfter=No",NA,NA
"25","Firenze",82,"Firenze","Firenze",11.2558136,43.7695604,3793,18,"Firenze","PROPN","SP","_",16,"obl","_","SpaceAfter=No",NA,NA
"26","Firenze",82,"Firenze","Firenze",11.2558136,43.7695604,1213,47,"Firenze","PROPN","SP","_",56,"obl","_","_",NA,NA
"27","Firenze",84,"Firenze","Firenze",11.2558136,43.7695604,4009,41,"Firenze","PROPN","SP","_",39,"obl","_","SpaceAfter=No",NA,NA
"28","Firenze",84,"Firenze","Firenze",11.2558136,43.7695604,972,70,"Firenze","PROPN","SP","_",68,"nmod","_","SpaceAfter=No",NA,NA
"29","Firenze",84,"Firenze","Firenze",11.2558136,43.7695604,915,16,"Firenze","PROPN","SP","_",14,"nmod","_","_",NA,NA
"30","Firenze",84,"Firenze","Firenze",11.2558136,43.7695604,846,10,"Firenze","PROPN","SP","_",8,"nmod","_","_",NA,NA
"31","Firenze",84,"Firenze","Firenze",11.2558136,43.7695604,3872,24,"Firenze","PROPN","SP","_",22,"obl","_","SpaceAfter=No",NA,NA
"32","Firenze",84,"Firenze","Firenze",11.2558136,43.7695604,3793,18,"Firenze","PROPN","SP","_",16,"obl","_","SpaceAfter=No",NA,NA
"33","Firenze",84,"Firenze","Firenze",11.2558136,43.7695604,1213,47,"Firenze","PROPN","SP","_",56,"obl","_","_",NA,NA
"34","Firenze",83,"Firenze","Firenze",11.2558136,43.7695604,4009,41,"Firenze","PROPN","SP","_",39,"obl","_","SpaceAfter=No",NA,NA
"35","Firenze",83,"Firenze","Firenze",11.2558136,43.7695604,972,70,"Firenze","PROPN","SP","_",68,"nmod","_","SpaceAfter=No",NA,NA
"36","Firenze",83,"Firenze","Firenze",11.2558136,43.7695604,915,16,"Firenze","PROPN","SP","_",14,"nmod","_","_",NA,NA
"37","Firenze",83,"Firenze","Firenze",11.2558136,43.7695604,846,10,"Firenze","PROPN","SP","_",8,"nmod","_","_",NA,NA
"38","Firenze",83,"Firenze","Firenze",11.2558136,43.7695604,3872,24,"Firenze","PROPN","SP","_",22,"obl","_","SpaceAfter=No",NA,NA
"39","Firenze",83,"Firenze","Firenze",11.2558136,43.7695604,3793,18,"Firenze","PROPN","SP","_",16,"obl","_","SpaceAfter=No",NA,NA
"40","Firenze",83,"Firenze","Firenze",11.2558136,43.7695604,1213,47,"Firenze","PROPN","SP","_",56,"obl","_","_",NA,NA
"41","Firenze",87,"Firenze","Firenze",11.2558136,43.7695604,4009,41,"Firenze","PROPN","SP","_",39,"obl","_","SpaceAfter=No",NA,NA
"42","Firenze",87,"Firenze","Firenze",11.2558136,43.7695604,972,70,"Firenze","PROPN","SP","_",68,"nmod","_","SpaceAfter=No",NA,NA
"43","Firenze",87,"Firenze","Firenze",11.2558136,43.7695604,915,16,"Firenze","PROPN","SP","_",14,"nmod","_","_",NA,NA
"44","Firenze",87,"Firenze","Firenze",11.2558136,43.7695604,846,10,"Firenze","PROPN","SP","_",8,"nmod","_","_",NA,NA
"45","Firenze",87,"Firenze","Firenze",11.2558136,43.7695604,3872,24,"Firenze","PROPN","SP","_",22,"obl","_","SpaceAfter=No",NA,NA
"46","Firenze",87,"Firenze","Firenze",11.2558136,43.7695604,3793,18,"Firenze","PROPN","SP","_",16,"obl","_","SpaceAfter=No",NA,NA
"47","Firenze",87,"Firenze","Firenze",11.2558136,43.7695604,1213,47,"Firenze","PROPN","SP","_",56,"obl","_","_",NA,NA
"48","Firenze",89,"Firenze","Firenze",11.2558136,43.7695604,4009,41,"Firenze","PROPN","SP","_",39,"obl","_","SpaceAfter=No",NA,NA
"49","Firenze",89,"Firenze","Firenze",11.2558136,43.7695604,972,70,"Firenze","PROPN","SP","_",68,"nmod","_","SpaceAfter=No",NA,NA
"50","Firenze",89,"Firenze","Firenze",11.2558136,43.7695604,915,16,"Firenze","PROPN","SP","_",14,"nmod","_","_",NA,NA
"51","Firenze",89,"Firenze","Firenze",11.2558136,43.7695604,846,10,"Firenze","PROPN","SP","_",8,"nmod","_","_",NA,NA
"52","Firenze",89,"Firenze","Firenze",11.2558136,43.7695604,3872,24,"Firenze","PROPN","SP","_",22,"obl","_","SpaceAfter=No",NA,NA
"53","Firenze",89,"Firenze","Firenze",11.2558136,43.7695604,3793,18,"Firenze","PROPN","SP","_",16,"obl","_","SpaceAfter=No",NA,NA
"54","Firenze",89,"Firenze","Firenze",11.2558136,43.7695604,1213,47,"Firenze","PROPN","SP","_",56,"obl","_","_",NA,NA
"55","Firenze",86,"Firenze","Firenze",11.2558136,43.7695604,4009,41,"Firenze","PROPN","SP","_",39,"obl","_","SpaceAfter=No",NA,NA
"56","Firenze",86,"Firenze","Firenze",11.2558136,43.7695604,972,70,"Firenze","PROPN","SP","_",68,"nmod","_","SpaceAfter=No",NA,NA
"57","Firenze",86,"Firenze","Firenze",11.2558136,43.7695604,915,16,"Firenze","PROPN","SP","_",14,"nmod","_","_",NA,NA
"58","Firenze",86,"Firenze","Firenze",11.2558136,43.7695604,846,10,"Firenze","PROPN","SP","_",8,"nmod","_","_",NA,NA
"59","Firenze",86,"Firenze","Firenze",11.2558136,43.7695604,3872,24,"Firenze","PROPN","SP","_",22,"obl","_","SpaceAfter=No",NA,NA
"60","Firenze",86,"Firenze","Firenze",11.2558136,43.7695604,3793,18,"Firenze","PROPN","SP","_",16,"obl","_","SpaceAfter=No",NA,NA
"61","Firenze",86,"Firenze","Firenze",11.2558136,43.7695604,1213,47,"Firenze","PROPN","SP","_",56,"obl","_","_",NA,NA
"62","Inghilterra",118,"Inghilterra","Inghilterra",-1.1743197,52.3555177,945,43,"Inghilterra","PROPN","SP","_",26,"conj","_","_",NA,NA
"63","Inghilterra",118,"Inghilterra","Inghilterra",-1.1743197,52.3555177,1083,20,"Inghilterra","PROPN","SP","_",17,"nmod","_","SpaceAfter=No",NA,NA
"64","Inghilterra",118,"Inghilterra","Inghilterra",-1.1743197,52.3555177,3518,80,"Inghilterra","PROPN","SP","_",78,"nmod","_","_",NA,NA
"65","Inghilterra",118,"Inghilterra","Inghilterra",-1.1743197,52.3555177,48,28,"Inghilterra","PROPN","SP","_",26,"nmod","_","SpaceAfter=No",NA,NA
"66","Inghilterra",118,"Inghilterra","Inghilterra",-1.1743197,52.3555177,3114,36,"Inghilterra","PROPN","SP","_",34,"nmod","_","_",NA,NA
"67","Inghilterra",118,"Inghilterra","Inghilterra",-1.1743197,52.3555177,1514,22,"Inghilterra","PROPN","SP","_",20,"nmod","_","SpaceAfter=No",NA,NA
"68","Inghilterra",118,"Inghilterra","Inghilterra",-1.1743197,52.3555177,3895,7,"Inghilterra","PROPN","SP","_",5,"nmod","_","_",NA,NA
"69","Inghilterra",118,"Inghilterra","Inghilterra",-1.1743197,52.3555177,1335,6,"Inghilterra","PROPN","SP","_",4,"obl","_","_",NA,NA
"70","Inghilterra",118,"Inghilterra","Inghilterra",-1.1743197,52.3555177,855,19,"Inghilterra","PROPN","SP","_",17,"obl","_","SpaceAfter=No",NA,NA
"71","Inghilterra",118,"Inghilterra","Inghilterra",-1.1743197,52.3555177,1097,34,"Inghilterra","PROPN","SP","_",32,"obl","_","_",NA,NA
"72","Inghilterra",134,"Inghilterra","Inghilterra",-1.1743197,52.3555177,945,43,"Inghilterra","PROPN","SP","_",26,"conj","_","_",NA,NA
"73","Inghilterra",134,"Inghilterra","Inghilterra",-1.1743197,52.3555177,1083,20,"Inghilterra","PROPN","SP","_",17,"nmod","_","SpaceAfter=No",NA,NA
