"","V2","V0","V1","V3.x","V4","V5","V6","V7","V8","V9","V10","V11","V12","X","Standardized","V3.y","lon","lat"
"1","Perugia",7,3,"Perugia","PROPN","SP","_",1,"obl","_","SpaceAfter=No",NA,NA,197,"Perugia","Perugia",12.3908279,43.1107168
"2","Perugia",7,3,"Perugia","PROPN","SP","_",1,"obl","_","SpaceAfter=No",NA,NA,196,"Perugia","Perugia",12.3908279,43.1107168
"3","Perugia",7,3,"Perugia","PROPN","SP","_",1,"obl","_","SpaceAfter=No",NA,NA,192,"Perugia","Perugia",12.3908279,43.1107168
"4","Perugia",7,3,"Perugia","PROPN","SP","_",1,"obl","_","SpaceAfter=No",NA,NA,195,"Perugia","Perugia",12.3908279,43.1107168
"5","Perugia",7,3,"Perugia","PROPN","SP","_",1,"obl","_","SpaceAfter=No",NA,NA,194,"Perugia","Perugia",12.3908279,43.1107168
"6","Perugia",7,3,"Perugia","PROPN","SP","_",1,"obl","_","SpaceAfter=No",NA,NA,193,"Perugia","Perugia",12.3908279,43.1107168
"7","Perugia",6417,9,"Perugia","PROPN","SP","_",6,"conj","_","_",NA,NA,197,"Perugia","Perugia",12.3908279,43.1107168
"8","Perugia",6417,9,"Perugia","PROPN","SP","_",6,"conj","_","_",NA,NA,196,"Perugia","Perugia",12.3908279,43.1107168
"9","Perugia",6417,9,"Perugia","PROPN","SP","_",6,"conj","_","_",NA,NA,192,"Perugia","Perugia",12.3908279,43.1107168
"10","Perugia",6417,9,"Perugia","PROPN","SP","_",6,"conj","_","_",NA,NA,195,"Perugia","Perugia",12.3908279,43.1107168
"11","Perugia",6417,9,"Perugia","PROPN","SP","_",6,"conj","_","_",NA,NA,194,"Perugia","Perugia",12.3908279,43.1107168
"12","Perugia",6417,9,"Perugia","PROPN","SP","_",6,"conj","_","_",NA,NA,193,"Perugia","Perugia",12.3908279,43.1107168
"13","Perugia",2260,37,"Perugia","PROPN","SP","_",29,"conj","_","_",NA,NA,197,"Perugia","Perugia",12.3908279,43.1107168
"14","Perugia",2260,37,"Perugia","PROPN","SP","_",29,"conj","_","_",NA,NA,196,"Perugia","Perugia",12.3908279,43.1107168
"15","Perugia",2260,37,"Perugia","PROPN","SP","_",29,"conj","_","_",NA,NA,192,"Perugia","Perugia",12.3908279,43.1107168
"16","Perugia",2260,37,"Perugia","PROPN","SP","_",29,"conj","_","_",NA,NA,195,"Perugia","Perugia",12.3908279,43.1107168
"17","Perugia",2260,37,"Perugia","PROPN","SP","_",29,"conj","_","_",NA,NA,194,"Perugia","Perugia",12.3908279,43.1107168
"18","Perugia",2260,37,"Perugia","PROPN","SP","_",29,"conj","_","_",NA,NA,193,"Perugia","Perugia",12.3908279,43.1107168
"19","Perugia",565,37,"Perugia","PROPN","SP","_",31,"conj","_","_",NA,NA,197,"Perugia","Perugia",12.3908279,43.1107168
"20","Perugia",565,37,"Perugia","PROPN","SP","_",31,"conj","_","_",NA,NA,196,"Perugia","Perugia",12.3908279,43.1107168
"21","Perugia",565,37,"Perugia","PROPN","SP","_",31,"conj","_","_",NA,NA,192,"Perugia","Perugia",12.3908279,43.1107168
"22","Perugia",565,37,"Perugia","PROPN","SP","_",31,"conj","_","_",NA,NA,195,"Perugia","Perugia",12.3908279,43.1107168
"23","Perugia",565,37,"Perugia","PROPN","SP","_",31,"conj","_","_",NA,NA,194,"Perugia","Perugia",12.3908279,43.1107168
"24","Perugia",565,37,"Perugia","PROPN","SP","_",31,"conj","_","_",NA,NA,193,"Perugia","Perugia",12.3908279,43.1107168
"25","Perugia",129,10,"Perugia","PROPN","SP","_",7,"obl","_","_",NA,NA,197,"Perugia","Perugia",12.3908279,43.1107168
"26","Perugia",129,10,"Perugia","PROPN","SP","_",7,"obl","_","_",NA,NA,196,"Perugia","Perugia",12.3908279,43.1107168
"27","Perugia",129,10,"Perugia","PROPN","SP","_",7,"obl","_","_",NA,NA,192,"Perugia","Perugia",12.3908279,43.1107168
"28","Perugia",129,10,"Perugia","PROPN","SP","_",7,"obl","_","_",NA,NA,195,"Perugia","Perugia",12.3908279,43.1107168
"29","Perugia",129,10,"Perugia","PROPN","SP","_",7,"obl","_","_",NA,NA,194,"Perugia","Perugia",12.3908279,43.1107168
"30","Perugia",129,10,"Perugia","PROPN","SP","_",7,"obl","_","_",NA,NA,193,"Perugia","Perugia",12.3908279,43.1107168
"31","Perugia",1519,15,"Perugia","PROPN","SP","_",13,"obl","_","SpaceAfter=No",NA,NA,197,"Perugia","Perugia",12.3908279,43.1107168
"32","Perugia",1519,15,"Perugia","PROPN","SP","_",13,"obl","_","SpaceAfter=No",NA,NA,196,"Perugia","Perugia",12.3908279,43.1107168
"33","Perugia",1519,15,"Perugia","PROPN","SP","_",13,"obl","_","SpaceAfter=No",NA,NA,192,"Perugia","Perugia",12.3908279,43.1107168
"34","Perugia",1519,15,"Perugia","PROPN","SP","_",13,"obl","_","SpaceAfter=No",NA,NA,195,"Perugia","Perugia",12.3908279,43.1107168
