"","V2","X","Standardized","V3.x","lon","lat","V0","V1","V3.y","V4","V5","V6","V7","V8","V9","V10","V11","V12"
"1","Amalfi",17,"Amalfi","Amalfi",14.6026805,40.6340026,258,41,"Amalfi","PROPN","SP","_",39,"nmod","_","SpaceAfter=No",NA,NA
"2","Brandizio",47,"Brindisi","Brandizio",17.9417616,40.6327278,2296,8,"Brandizio","PROPN","SP","_",6,"obl","_","SpaceAfter=No",NA,NA
"3","Cifalonia",55,"Cefalonia","Cifalonia",20.5692179,38.1753675,1153,28,"Cifalonia","PROPN","SP","_",26,"nmod","_","_",NA,NA
"4","Cipri",58,"Cipro","Ciprio",33.429859,35.126413,393,38,"Ciprio","PROPN","SP","_",34,"nmod","_","SpaceAfter=No",NA,NA
"5","Cipri",62,"Cipro","Ciprio",33.429859,35.126413,393,38,"Ciprio","PROPN","SP","_",34,"nmod","_","SpaceAfter=No",NA,NA
"6","Cipri",61,"Cipro","Ciprio",33.429859,35.126413,393,38,"Ciprio","PROPN","SP","_",34,"nmod","_","SpaceAfter=No",NA,NA
"7","Cipri",60,"Cipro","Ciprio",33.429859,35.126413,393,38,"Ciprio","PROPN","SP","_",34,"nmod","_","SpaceAfter=No",NA,NA
"8","Cipri",68,"Cipro","Ciprio",33.429859,35.126413,393,38,"Ciprio","PROPN","SP","_",34,"nmod","_","SpaceAfter=No",NA,NA
"9","Cipri",64,"Cipro","Ciprio",33.429859,35.126413,393,38,"Ciprio","PROPN","SP","_",34,"nmod","_","SpaceAfter=No",NA,NA
"10","Cipri",65,"Cipro","cipri",33.429859,35.126413,393,38,"Ciprio","PROPN","SP","_",34,"nmod","_","SpaceAfter=No",NA,NA
"11","Cipri",66,"Cipro","Ciprio",33.429859,35.126413,393,38,"Ciprio","PROPN","SP","_",34,"nmod","_","SpaceAfter=No",NA,NA
"12","Cipri",59,"Cipro","Ciprio",33.429859,35.126413,393,38,"Ciprio","PROPN","SP","_",34,"nmod","_","SpaceAfter=No",NA,NA
"13","Cipri",63,"Cipro","Ciprio",33.429859,35.126413,393,38,"Ciprio","PROPN","SP","_",34,"nmod","_","SpaceAfter=No",NA,NA
"14","Cipri",67,"Cipro","Ciprio",33.429859,35.126413,393,38,"Ciprio","PROPN","SP","_",34,"nmod","_","SpaceAfter=No",NA,NA
"15","Costantinopoli",139,"Istanbul","Costantinopoli",28.9783589,41.0082376,864,17,"Costantinopoli","PROPN","SP","_",15,"obl","_","SpaceAfter=No",NA,NA
"16","Gaeta",98,"Gaeta","Gaeta",13.5714285,41.2107299,224,8,"Gaeta","PROPN","SP","_",4,"nmod","_","_",NA,NA
"17","Gurfo",69,"Corfù","Gurfo",19.9216777,39.6242621,32,28,"Gurfo","PROPN","SP","_",1,"conj","_","_",NA,NA
"18","Gurfo",69,"Corfù","Gurfo",19.9216777,39.6242621,2465,12,"Gurfo","PROPN","SP","_",8,"nmod","_","_",NA,NA
"19","Gurfo",69,"Corfù","Gurfo",19.9216777,39.6242621,1717,61,"Gurfo","PROPN","SP","_",59,"nmod","_","SpaceAfter=No",NA,NA
"20","Gurfo",71,"Corfù","Gurfo",19.9216777,39.6242621,32,28,"Gurfo","PROPN","SP","_",1,"conj","_","_",NA,NA
"21","Gurfo",71,"Corfù","Gurfo",19.9216777,39.6242621,2465,12,"Gurfo","PROPN","SP","_",8,"nmod","_","_",NA,NA
"22","Gurfo",71,"Corfù","Gurfo",19.9216777,39.6242621,1717,61,"Gurfo","PROPN","SP","_",59,"nmod","_","SpaceAfter=No",NA,NA
"23","Gurfo",70,"Corfù","Gurfo",19.9216777,39.6242621,32,28,"Gurfo","PROPN","SP","_",1,"conj","_","_",NA,NA
"24","Gurfo",70,"Corfù","Gurfo",19.9216777,39.6242621,2465,12,"Gurfo","PROPN","SP","_",8,"nmod","_","_",NA,NA
"25","Gurfo",70,"Corfù","Gurfo",19.9216777,39.6242621,1717,61,"Gurfo","PROPN","SP","_",59,"nmod","_","SpaceAfter=No",NA,NA
"26","Italia",142,"Italia","Italia",12.56738,41.87194,232,16,"Italia","PROPN","SP","_",14,"nmod","_","SpaceAfter=No",NA,NA
"27","Italia",140,"Italia","Italia",12.56738,41.87194,232,16,"Italia","PROPN","SP","_",14,"nmod","_","SpaceAfter=No",NA,NA
"28","Italia",141,"Italia","Italia",12.56738,41.87194,232,16,"Italia","PROPN","SP","_",14,"nmod","_","SpaceAfter=No",NA,NA
"29","Ravello",218,"Ravello","Ravello",14.6117112,40.6491886,295,8,"Ravello","PROPN","SP","_",7,"nmod","_","SpaceAfter=No",NA,NA
"30","Ravello",218,"Ravello","Ravello",14.6117112,40.6491886,2364,74,"Ravello","PROPN","SP","_",67,"conj","_","SpaceAfter=No",NA,NA
"31","Ravello",217,"Ravello","Ravello",14.6117112,40.6491886,295,8,"Ravello","PROPN","SP","_",7,"nmod","_","SpaceAfter=No",NA,NA
"32","Ravello",217,"Ravello","Ravello",14.6117112,40.6491886,2364,74,"Ravello","PROPN","SP","_",67,"conj","_","SpaceAfter=No",NA,NA
"33","Reggio",220,"Reggio Calabria","Reggio",15.6472914,38.1113006,222,6,"Reggio","PROPN","SP","_",4,"nmod","_","_",NA,NA
"34","Salerno",229,"Salerno","Salerno",14.7680961,40.6824408,241,24,"Salerno","PROPN","SP","_",27,"nsubj","_","_",NA,NA
"35","Trani",255,"Trani","Trani",16.4178334,41.2774857,2309,21,"Trani","PROPN","SP","_",18,"obl","_","SpaceAfter=No",NA,NA
"36","Trani",255,"Trani","Trani",16.4178334,41.2774857,2498,43,"Trani","PROPN","SP","_",41,"obl","_","_",NA,NA
"37","Trani",256,"Trani","Trani",16.4178334,41.2774857,2309,21,"Trani","PROPN","SP","_",18,"obl","_","SpaceAfter=No",NA,NA
"38","Trani",256,"Trani","Trani",16.4178334,41.2774857,2498,43,"Trani","PROPN","SP","_",41,"obl","_","_",NA,NA
