"","V2","V0","V1","V3.x","V4","V5","V6","V7","V8","V9","V10","V11","V12","X","Standardized","V3.y","lon","lat"
"1","Anguersa",6492,16,"anguersa","PROPN","SP","_",14,"nmod","_","_",NA,NA,25,"Anversa","anguersa",4.4024643,51.2194475
"2","Anguersa",6492,16,"anguersa","PROPN","SP","_",14,"nmod","_","_",NA,NA,27,"Anversa","anguersa",4.4024643,51.2194475
"3","Anguersa",6492,16,"anguersa","PROPN","SP","_",14,"nmod","_","_",NA,NA,21,"Anversa","anguersa",4.4024643,51.2194475
"4","Anguersa",6492,16,"anguersa","PROPN","SP","_",14,"nmod","_","_",NA,NA,28,"Anversa","anguersa",4.4024643,51.2194475
"5","Anguersa",6492,16,"anguersa","PROPN","SP","_",14,"nmod","_","_",NA,NA,22,"Anversa","anguersa",4.4024643,51.2194475
"6","Anguersa",6492,16,"anguersa","PROPN","SP","_",14,"nmod","_","_",NA,NA,24,"Anversa","anguersa",4.4024643,51.2194475
"7","Anguersa",6492,16,"anguersa","PROPN","SP","_",14,"nmod","_","_",NA,NA,26,"Anversa","anguersa",4.4024643,51.2194475
"8","Anguersa",6492,16,"anguersa","PROPN","SP","_",14,"nmod","_","_",NA,NA,30,"Anversa","anguersa",4.4024643,51.2194475
"9","Anguersa",6492,16,"anguersa","PROPN","SP","_",14,"nmod","_","_",NA,NA,29,"Anversa","anguersa",4.4024643,51.2194475
"10","Anguersa",6492,16,"anguersa","PROPN","SP","_",14,"nmod","_","_",NA,NA,23,"Anversa","Anguerso",4.4024643,51.2194475
"11","Anguersa",8,4,"anguersa","PROPN","SP","_",2,"nmod","_","SpaceAfter=No",NA,NA,25,"Anversa","anguersa",4.4024643,51.2194475
"12","Anguersa",8,4,"anguersa","PROPN","SP","_",2,"nmod","_","SpaceAfter=No",NA,NA,27,"Anversa","anguersa",4.4024643,51.2194475
"13","Anguersa",8,4,"anguersa","PROPN","SP","_",2,"nmod","_","SpaceAfter=No",NA,NA,21,"Anversa","anguersa",4.4024643,51.2194475
"14","Anguersa",8,4,"anguersa","PROPN","SP","_",2,"nmod","_","SpaceAfter=No",NA,NA,28,"Anversa","anguersa",4.4024643,51.2194475
"15","Anguersa",8,4,"anguersa","PROPN","SP","_",2,"nmod","_","SpaceAfter=No",NA,NA,22,"Anversa","anguersa",4.4024643,51.2194475
"16","Anguersa",8,4,"anguersa","PROPN","SP","_",2,"nmod","_","SpaceAfter=No",NA,NA,24,"Anversa","anguersa",4.4024643,51.2194475
"17","Anguersa",8,4,"anguersa","PROPN","SP","_",2,"nmod","_","SpaceAfter=No",NA,NA,26,"Anversa","anguersa",4.4024643,51.2194475
"18","Anguersa",8,4,"anguersa","PROPN","SP","_",2,"nmod","_","SpaceAfter=No",NA,NA,30,"Anversa","anguersa",4.4024643,51.2194475
"19","Anguersa",8,4,"anguersa","PROPN","SP","_",2,"nmod","_","SpaceAfter=No",NA,NA,29,"Anversa","anguersa",4.4024643,51.2194475
"20","Anguersa",8,4,"anguersa","PROPN","SP","_",2,"nmod","_","SpaceAfter=No",NA,NA,23,"Anversa","Anguerso",4.4024643,51.2194475
"21","Anguersa",6873,6,"anguersa","PROPN","SP","_",4,"nmod","_","_",NA,NA,25,"Anversa","anguersa",4.4024643,51.2194475
"22","Anguersa",6873,6,"anguersa","PROPN","SP","_",4,"nmod","_","_",NA,NA,27,"Anversa","anguersa",4.4024643,51.2194475
"23","Anguersa",6873,6,"anguersa","PROPN","SP","_",4,"nmod","_","_",NA,NA,21,"Anversa","anguersa",4.4024643,51.2194475
"24","Anguersa",6873,6,"anguersa","PROPN","SP","_",4,"nmod","_","_",NA,NA,28,"Anversa","anguersa",4.4024643,51.2194475
"25","Anguersa",6873,6,"anguersa","PROPN","SP","_",4,"nmod","_","_",NA,NA,22,"Anversa","anguersa",4.4024643,51.2194475
"26","Anguersa",6873,6,"anguersa","PROPN","SP","_",4,"nmod","_","_",NA,NA,24,"Anversa","anguersa",4.4024643,51.2194475
"27","Anguersa",6873,6,"anguersa","PROPN","SP","_",4,"nmod","_","_",NA,NA,26,"Anversa","anguersa",4.4024643,51.2194475
"28","Anguersa",6873,6,"anguersa","PROPN","SP","_",4,"nmod","_","_",NA,NA,30,"Anversa","anguersa",4.4024643,51.2194475
"29","Anguersa",6873,6,"anguersa","PROPN","SP","_",4,"nmod","_","_",NA,NA,29,"Anversa","anguersa",4.4024643,51.2194475
"30","Anguersa",6873,6,"anguersa","PROPN","SP","_",4,"nmod","_","_",NA,NA,23,"Anversa","Anguerso",4.4024643,51.2194475
"31","Anguersa",7098,62,"anguersa","PROPN","SP","_",60,"nmod","_","_",NA,NA,25,"Anversa","anguersa",4.4024643,51.2194475
"32","Anguersa",7098,62,"anguersa","PROPN","SP","_",60,"nmod","_","_",NA,NA,27,"Anversa","anguersa",4.4024643,51.2194475
"33","Anguersa",7098,62,"anguersa","PROPN","SP","_",60,"nmod","_","_",NA,NA,21,"Anversa","anguersa",4.4024643,51.2194475
