"","V2","V0","V1","V3.x","V4","V5","V6","V7","V8","V9","V10","V11","V12","X","Standardized","V3.y","lon","lat"
"41","Maiolica",1141,69,"Maiolica","PROPN","SP","_",67,"nmod","_","_",NA,NA,153,"Mallorca","Maiolica",3.0175712,39.6952629
"42","Maiolica",1141,69,"Maiolica","PROPN","SP","_",67,"nmod","_","_",NA,NA,156,"Mallorca","Maiolica",3.0175712,39.6952629
"43","Maiolica",1141,69,"Maiolica","PROPN","SP","_",67,"nmod","_","_",NA,NA,155,"Mallorca","Maiolica",3.0175712,39.6952629
"44","Maiolica",2374,21,"Maiolica","PROPN","SP","_",19,"nmod","_","_",NA,NA,153,"Mallorca","Maiolica",3.0175712,39.6952629
"45","Maiolica",2374,21,"Maiolica","PROPN","SP","_",19,"nmod","_","_",NA,NA,156,"Mallorca","Maiolica",3.0175712,39.6952629
"46","Maiolica",2374,21,"Maiolica","PROPN","SP","_",19,"nmod","_","_",NA,NA,155,"Mallorca","Maiolica",3.0175712,39.6952629
"47","Maiolica",922,55,"Maiolica","PROPN","SP","_",53,"obl","_","SpaceAfter=No",NA,NA,153,"Mallorca","Maiolica",3.0175712,39.6952629
"48","Maiolica",922,55,"Maiolica","PROPN","SP","_",53,"obl","_","SpaceAfter=No",NA,NA,156,"Mallorca","Maiolica",3.0175712,39.6952629
"49","Maiolica",922,55,"Maiolica","PROPN","SP","_",53,"obl","_","SpaceAfter=No",NA,NA,155,"Mallorca","Maiolica",3.0175712,39.6952629
"50","Visalgo",1512,27,"Visalgo","PROPN","SP","_",25,"nmod","_","SpaceAfter=No",NA,NA,154,"Mallorca","Visalgo",3.0175712,39.6952629
"51","Romania",3909,42,"Romania","PROPN","SP","_",43,"nsubj","_","_",NA,NA,190,"Peloponneso","Romania",22.37349,37.5079472
"52","Romania",3909,42,"Romania","PROPN","SP","_",43,"nsubj","_","_",NA,NA,191,"Peloponneso","Romania",22.37349,37.5079472
"53","Romania",2787,24,"Romania","PROPN","SP","_",20,"obl","_","SpaceAfter=No",NA,NA,190,"Peloponneso","Romania",22.37349,37.5079472
"54","Romania",2787,24,"Romania","PROPN","SP","_",20,"obl","_","SpaceAfter=No",NA,NA,191,"Peloponneso","Romania",22.37349,37.5079472
"55","Chiarenza",3981,25,"Chiarenza","PROPN","SP","_",23,"obl","_","SpaceAfter=No",NA,NA,20,"Andravida-Kyllini","Chiarenza",21.356045,37.9683071
"56","Chiarenza",3981,25,"Chiarenza","PROPN","SP","_",23,"obl","_","SpaceAfter=No",NA,NA,19,"Andravida-Kyllini","Chiarenza",21.356045,37.9683071
"57","Chiarenza",3606,57,"Chiarenza","PROPN","SP","_",55,"obl","_","_",NA,NA,20,"Andravida-Kyllini","Chiarenza",21.356045,37.9683071
"58","Chiarenza",3606,57,"Chiarenza","PROPN","SP","_",55,"obl","_","_",NA,NA,19,"Andravida-Kyllini","Chiarenza",21.356045,37.9683071
"59","Morea",3668,31,"Morea","PROPN","SP","_",28,"nmod","_","SpaceAfter=No",NA,NA,18,"Andravida-Kyllini","Morea",21.356045,37.9683071
"60","Atene",4887,10,"Atene","PROPN","SP","_",0,"root","_","_",NA,NA,39,"Atene","Atene",23.7275388,37.9838096
"61","Atene",4887,10,"Atene","PROPN","SP","_",0,"root","_","_",NA,NA,38,"Atene","Atene",23.7275388,37.9838096
"62","Atene",4887,10,"Atene","PROPN","SP","_",0,"root","_","_",NA,NA,36,"Atene","Atene",23.7275388,37.9838096
"63","Atene",4887,10,"Atene","PROPN","SP","_",0,"root","_","_",NA,NA,37,"Atene","Atene",23.7275388,37.9838096
"64","Atene",4887,10,"Atene","PROPN","SP","_",0,"root","_","_",NA,NA,35,"Atene","Atene",23.7275388,37.9838096
"65","Atene",4887,10,"Atene","PROPN","SP","_",0,"root","_","_",NA,NA,42,"Atene","Atene",23.7275388,37.9838096
"66","Atene",4887,10,"Atene","PROPN","SP","_",0,"root","_","_",NA,NA,40,"Atene","Atene",23.7275388,37.9838096
"67","Atene",4887,10,"Atene","PROPN","SP","_",0,"root","_","_",NA,NA,41,"Atene","Atene",23.7275388,37.9838096
"68","Atene",3926,9,"Atene","PROPN","SP","_",7,"nmod","_","SpaceAfter=No",NA,NA,39,"Atene","Atene",23.7275388,37.9838096
"69","Atene",3926,9,"Atene","PROPN","SP","_",7,"nmod","_","SpaceAfter=No",NA,NA,38,"Atene","Atene",23.7275388,37.9838096
"70","Atene",3926,9,"Atene","PROPN","SP","_",7,"nmod","_","SpaceAfter=No",NA,NA,36,"Atene","Atene",23.7275388,37.9838096
"71","Atene",3926,9,"Atene","PROPN","SP","_",7,"nmod","_","SpaceAfter=No",NA,NA,37,"Atene","Atene",23.7275388,37.9838096
"72","Atene",3926,9,"Atene","PROPN","SP","_",7,"nmod","_","SpaceAfter=No",NA,NA,35,"Atene","Atene",23.7275388,37.9838096
"73","Atene",3926,9,"Atene","PROPN","SP","_",7,"nmod","_","SpaceAfter=No",NA,NA,42,"Atene","Atene",23.7275388,37.9838096
"74","Atene",3926,9,"Atene","PROPN","SP","_",7,"nmod","_","SpaceAfter=No",NA,NA,40,"Atene","Atene",23.7275388,37.9838096
"75","Atene",3926,9,"Atene","PROPN","SP","_",7,"nmod","_","SpaceAfter=No",NA,NA,41,"Atene","Atene",23.7275388,37.9838096
"76","Atene",5836,49,"Atene","PROPN","SP","_",46,"obl","_","_",NA,NA,39,"Atene","Atene",23.7275388,37.9838096
"77","Atene",5836,49,"Atene","PROPN","SP","_",46,"obl","_","_",NA,NA,38,"Atene","Atene",23.7275388,37.9838096
"78","Atene",5836,49,"Atene","PROPN","SP","_",46,"obl","_","_",NA,NA,36,"Atene","Atene",23.7275388,37.9838096
"79","Atene",5836,49,"Atene","PROPN","SP","_",46,"obl","_","_",NA,NA,37,"Atene","Atene",23.7275388,37.9838096
"80","Atene",5836,49,"Atene","PROPN","SP","_",46,"obl","_","_",NA,NA,35,"Atene","Atene",23.7275388,37.9838096
"81","Atene",5836,49,"Atene","PROPN","SP","_",46,"obl","_","_",NA,NA,42,"Atene","Atene",23.7275388,37.9838096
"82","Atene",5836,49,"Atene","PROPN","SP","_",46,"obl","_","_",NA,NA,40,"Atene","Atene",23.7275388,37.9838096
"83","Atene",5836,49,"Atene","PROPN","SP","_",46,"obl","_","_",NA,NA,41,"Atene","Atene",23.7275388,37.9838096
"84","Atene",5867,18,"Atene","PROPN","SP","_",10,"obl","_","_",NA,NA,39,"Atene","Atene",23.7275388,37.9838096
"85","Atene",5867,18,"Atene","PROPN","SP","_",10,"obl","_","_",NA,NA,38,"Atene","Atene",23.7275388,37.9838096
"86","Atene",5867,18,"Atene","PROPN","SP","_",10,"obl","_","_",NA,NA,36,"Atene","Atene",23.7275388,37.9838096
"87","Atene",5867,18,"Atene","PROPN","SP","_",10,"obl","_","_",NA,NA,37,"Atene","Atene",23.7275388,37.9838096
"88","Atene",5867,18,"Atene","PROPN","SP","_",10,"obl","_","_",NA,NA,35,"Atene","Atene",23.7275388,37.9838096
"89","Atene",5867,18,"Atene","PROPN","SP","_",10,"obl","_","_",NA,NA,42,"Atene","Atene",23.7275388,37.9838096
"90","Atene",5867,18,"Atene","PROPN","SP","_",10,"obl","_","_",NA,NA,40,"Atene","Atene",23.7275388,37.9838096
