"","lon","lat"
"914",-75.6909195,45.4271927
"915",NA,NA
"916",-77.2376265,38.917372
"917",NA,NA
"918",-77.2376265,38.917372
"919",-95.9036356,36.0766378
"920",-95.9036356,36.0766378
"921",-95.9036356,36.0766378
"922",-95.9036356,36.0766378
"923",NA,NA
"924",NA,NA
"925",NA,NA
"926",-85.310797,35.047312
"927",-85.310797,35.047312
"928",82.533333,29.583333
"929",14.7680961,40.6824408
"930",NA,NA
"931",NA,NA
"932",NA,NA
"933",NA,NA
"934",NA,NA
"935",NA,NA
"936",NA,NA
"937",NA,NA
"938",NA,NA
"939",-4.2026458,56.4906712
"940",-4.2026458,56.4906712
"941",NA,NA
"942",NA,NA
"943",NA,NA
"944",NA,NA
"945",14.4404207,40.8715975
"946",14.4404207,40.8715975
"947",14.4404207,40.8715975
"948",NA,NA
"949",NA,NA
"950",NA,NA
"951",NA,NA
"952",NA,NA
"953",NA,NA
"954",NA,NA
"955",NA,NA
"956",-87.78527,41.568686
"957",-87.78527,41.568686
"958",-80.170886,33.0293982
"959",NA,NA
"960",NA,NA
"961",NA,NA
"962",NA,NA
"963",-73.9980849,40.7326303
"964",-73.9980849,40.7326303
"965",-73.9980849,40.7326303
"966",-73.9980849,40.7326303
"967",-73.9980849,40.7326303
"968",-73.9980849,40.7326303
"969",-73.9980849,40.7326303
"970",NA,NA
"971",NA,NA
"972",NA,NA
"973",NA,NA
"974",NA,NA
"975",NA,NA
"976",NA,NA
"977",NA,NA
"978",NA,NA
"979",NA,NA
"980",NA,NA
"981",11.2486208,43.7710513
"982",-79.3861858,43.6611669
"983",16.4178334,41.2774857
"984",NA,NA
"985",12.2430437,45.6668893
"986",NA,NA
"987",12.2430437,45.6668893
"988",NA,NA
"989",NA,NA
"990",NA,NA
"991",NA,NA
"992",9.5099215,45.7863277
"993",NA,NA
"994",5.6750999,47.360846
"995",10.9916215,45.4383842
"996",-74.1892728,40.7786683
"997",-74.1892728,40.7786683
"998",-74.1892728,40.7786683
"999",NA,NA
"1000",NA,NA
"1001",NA,NA
"1002",NA,NA
"1003",NA,NA
"1004",NA,NA
