"","Row.names","cities","lon","lat"
"225","296","Sicilia",14.0153557,37.5999938
"226","297","Sicilia",14.0153557,37.5999938
"227","298","Sicilia",NA,NA
"228","299","Sicilia",14.0153557,37.5999938
"229","3","Acri",-80.0260665,40.518441
"230","30","",NA,NA
"231","300","Sicilia",NA,NA
"232","301","Sicilia",NA,NA
"233","302","Sicilia",NA,NA
"234","303","Cefalonia",NA,NA
"235","304","Cipro",NA,NA
"236","305","Cipro",-71.1375382,42.6958514
"237","306","Cipro",-71.1375382,42.6958514
"238","307","Cipro",NA,NA
"239","308","Cipro",NA,NA
"240","309","Cipro",NA,NA
"241","31","",NA,NA
"242","310","Cipro",NA,NA
"243","311","Cipro",NA,NA
"244","312","Cipro",NA,NA
"245","313","Cipro",NA,NA
"246","314","Cipro",NA,NA
"247","315","",NA,NA
"248","316","",NA,NA
"249","317","",NA,NA
"250","318","",NA,NA
"251","319","",NA,NA
"252","32","",NA,NA
"253","320","",NA,NA
"254","321","Istanbul",NA,NA
"255","322","",NA,NA
"256","323","",NA,NA
"257","324","",NA,NA
"258","325","",NA,NA
"259","326","",NA,NA
"260","327","",NA,NA
"261","328","",NA,NA
"262","329","",NA,NA
"263","33","",NA,NA
"264","330","",NA,NA
"265","331","",NA,NA
"266","332","Cornovaglia",NA,NA
"267","333","Istanbul",NA,NA
"268","334","Borgo San Lorenzo (FI)",11.3847483,43.9543788
"269","335","Creta",NA,NA
"270","336","",NA,NA
"271","337","",NA,NA
"272","338","",NA,NA
"273","339","",NA,NA
"274","34","",NA,NA
"275","340","",NA,NA
"276","341","",NA,NA
"277","342","",NA,NA
"278","343","",NA,NA
"279","344","",NA,NA
"280","345","",NA,NA
"281","346","",NA,NA
"282","347","",NA,NA
"283","348","",NA,NA
"284","349","",NA,NA
"285","35","",NA,NA
"286","350","",NA,NA
"287","351","",NA,NA
"288","352","",NA,NA
"289","353","",NA,NA
"290","354","",NA,NA
"291","355","",NA,NA
"292","356","",NA,NA
"293","357","",NA,NA
"294","358","",NA,NA
"295","359","",NA,NA
"296","36","",NA,NA
"297","360","",NA,NA
"298","361","",NA,NA
"299","362","",NA,NA
"300","363","",NA,NA
"301","364","",NA,NA
"302","365","",NA,NA
"303","366","",NA,NA
"304","367","",NA,NA
"305","368","",NA,NA
"306","369","",NA,NA
"307","37","",NA,NA
"308","370","",NA,NA
"309","371","",NA,NA
"310","372","",NA,NA
"311","373","",NA,NA
"312","374","",NA,NA
"313","375","",NA,NA
"314","376","",NA,NA
"315","377","",NA,NA
"316","378","",NA,NA
"317","379","",NA,NA
"318","38","",NA,NA
"319","380","",NA,NA
"320","381","",NA,NA
"321","382","",NA,NA
"322","383","",NA,NA
"323","384","",NA,NA
"324","385","",NA,NA
"325","386","",NA,NA
"326","387","",NA,NA
"327","388","",NA,NA
"328","389","",NA,NA
"329","39","",NA,NA
"330","390","",NA,NA
"331","391","",NA,NA
"332","392","",NA,NA
"333","393","",NA,NA
"334","394","",NA,NA
"335","395","",NA,NA
"336","396","",NA,NA
"337","397","",NA,NA
"338","398","",NA,NA
"339","399","",NA,NA
"340","4","",NA,NA
"341","40","",NA,NA
"342","400","",NA,NA
"343","401","",NA,NA
"344","402","",NA,NA
"345","403","",NA,NA
"346","404","",NA,NA
"347","405","",NA,NA
"348","406","",NA,NA
"349","407","",NA,NA
"350","408","",NA,NA
"351","409","Egina",NA,NA
"352","41","",NA,NA
"353","410","Egitto",NA,NA
"354","411","",NA,NA
"355","412","",NA,NA
"356","413","",NA,NA
"357","414","",NA,NA
"358","415","",NA,NA
"359","416","",NA,NA
"360","417","",NA,NA
"361","418","",NA,NA
"362","419","",NA,NA
"363","42","",NA,NA
"364","420","",NA,NA
"365","421","",NA,NA
"366","422","Famagosta",33.919245,35.1149116
"367","423","Famagosta",NA,NA
"368","424","Famagosta",NA,NA
"369","425","",NA,NA
"370","426","",NA,NA
"371","427","Ferrara",NA,NA
"372","428","Ferrara",NA,NA
"373","429","",NA,NA
"374","43","",NA,NA
"375","430","",NA,NA
"376","431","",NA,NA
"377","432","",NA,NA
"378","433","",NA,NA
"379","434","",NA,NA
"380","435","",NA,NA
"381","436","Finale Ligure",8.3416211,44.1689028
"382","437","",NA,NA
"383","438","Firenze",11.2558136,43.7695604
"384","439","Firenze",11.2558136,43.7695604
"385","44","",NA,NA
"386","440","Firenze",11.2558136,43.7695604
"387","441","Firenze",NA,NA
"388","442","Firenze",11.2558136,43.7695604
"389","443","Firenze",NA,NA
"390","444","Firenze",11.2558136,43.7695604
"391","445","Firenze",11.2558136,43.7695604
"392","446","",NA,NA
"393","447","Francia",2.213749,46.227638
"394","448","Francia",2.213749,46.227638
"395","449","Francia",2.213749,46.227638
"396","45","",NA,NA
"397","450","Francia",2.213749,46.227638
"398","451","Francia",2.213749,46.227638
"399","452","Francia",2.213749,46.227638
"400","453","Francia",NA,NA
"401","454","Francia",2.213749,46.227638
"402","455","Gaeta",13.5714285,41.2107299
"403","456","Galles",-95.9211573,36.0689015
"404","457","Galles",-95.9211573,36.0689015
"405","458","Algarve",NA,NA
"406","459","Algarve",-7.930834,37.0179538
"407","46","",NA,NA
"408","460","Algarve",NA,NA
"409","461","Algarve",-7.930834,37.0179538
"410","462","Algarve",-7.930834,37.0179538
