"V0","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12"
"7","3","Genova","Genova","PROPN","SP","_","1","obl","_","SpaceAfter=No",,
"10","6","Ambruogiuolo","Ambruogiuolo","PROPN","SP","_","3","nmod","_","_",,
"44","6","Bernabò","Bernabò","PROPN","SP","_","4","conj","_","_",,
"47","9","Alessandria","Alessandria","PROPN","SP","_","7","obl","_","SpaceAfter=No",,
"68","29","Genova","Genova","PROPN","SP","_","27","obl","_","SpaceAfter=No",,
"74","2","Elissa","Elissare","PROPN","SP","_","1","obj","_","_",,
"85","13","Filomena","Filomena","PROPN","SP","_","11","conj","_","_",,
"122","2","Servar","Servare","PROPN","SP","_","4","obl","_","_",,
"128","8","Dioneo","Dioneo","PROPN","SP","_","6","nmod","_","SpaceAfter=No",,
"179","2","Suolsi","Suolsi","PROPN","SP","_","6","obl","_","_",,
"289","3","Parigi","Parigi","PROPN","SP","_","0","root","_","_",,
"412","28","de","de","PROPN","SP","_","54","obl","_","SpaceAfter=No",,
"545","8","Bernabò","Bernabò","PROPN","SP","_","7","nmod","_","_",,
"546","9","Lomellin","Lomellin","PROPN","SP","_","8","flat:name","_","_",,
"548","11","Genova","Genova","PROPN","SP","_","6","obl","_","SpaceAfter=No",,
"560","23","Dio","Dio","PROPN","SP","_","17","obl","_","_",,
"589","52","Italia","Italia","PROPN","SP","_","54","obl","_","_",,
"814","12","Ambruogiuolo","Ambruogiuolo","PROPN","SP","_","11","xcomp","_","_",,
"816","14","Piagenza","Piagenza","PROPN","SP","_","12","nmod","_","SpaceAfter=No",,
"825","23","Bernabò","Bernabò","PROPN","SP","_","24","nsubj","_","_",,
"882","12","Idio","Idio","PROPN","SP","_","10","conj","_","SpaceAfter=No",,
"906","3","Ambruogiuolo","Ambruogiuolo","PROPN","SP","_","2","nsubj","_","SpaceAfter=No",,
"912","2","Bernabò","Bernabò","PROPN","SP","_","6","obl","_","SpaceAfter=No",,
"1384","4","Bernabò","Bernabò","PROPN","SP","_","5","nsubj","_","_",,
"1481","43","Disse","disse","PROPN","SP","_","41","nmod","_","_",,
"1482","44","Ambruogiuolo","Ambruogiuolo","PROPN","SP","_","43","flat:name","_","SpaceAfter=No",,
"1719","40","Bernabò","Bernabò","PROPN","SP","_","42","nsubj","_","_",,
"1835","77","Ambruogiuolo","Ambruogiuolo","PROPN","SP","_","86","nmod","_","SpaceAfter=No",,
"1850","2","Bernabò","Bernabò","PROPN","SP","_","6","vocative","_","SpaceAfter=No",,
"1931","57","Genova","Genova","PROPN","SP","_","55","obl","_","_",,
"2002","124","Genova","Genova","PROPN","SP","_","122","obl","_","_",,
"2014","136","Bernabò","Bernabò","PROPN","SP","_","137","nsubj","_","_",,
"2093","6","Bernabò","Bernabò","PROPN","SP","_","7","nsubj","_","_",,
"2096","9","Ambruogiuolo","Ambruogiuolo","PROPN","SP","_","7","conj","_","_",,
"2105","18","Genova","Genova","PROPN","SP","_","16","obl","_","SpaceAfter=No",,
"2146","53","Bernabò","Bernabò","PROPN","SP","_","51","obl:agent","_","_",,
"2254","83","Ambruogiuolo","Ambruogiuolo","PROPN","SP","_","80","nmod","_","SpaceAfter=No",,
"2280","15","Ambruogiuolo","Ambruogiuolo","PROPN","SP","_","16","nsubj","_","_",,
"2590","31","Ambruogiuolo","Ambruogiuolo","PROPN","SP","_","50","nsubj","_","_",,
"2611","52","Parigi","Parigi","PROPN","SP","_","50","obl","_","_",,
"2646","23","Bernabò","Bernabò","PROPN","SP","_","20","appos","_","SpaceAfter=No",,
"2716","2","Bernabò","Bernabò","PROPN","SP","_","1","obj","_","_",,
"2798","3","Ambruogiuolo","Ambruogiuolo","PROPN","SP","_","4","obl","_","_",,
"2839","4","Zinevra","Zinevra","PROPN","SP","_","3","obj","_","_",,
"2870","2","Bernabò","Bernabò","PROPN","SP","_","3","nsubj","_","_",,
"2918","23","Ambruogiuolo","Ambruogiuolo","PROPN","SP","_","24","nsubj","_","_",,
"2930","2","Signori","signore","PROPN","SP","_","0","root","_","SpaceAfter=No",,
"2934","6","Ambruogiuolo","Ambruogiuolo","PROPN","SP","_","7","nsubj","_","_",,
