"V0","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12"
"5","1","Madama","madama","PROPN","SP","_","18","nsubj","_","_",,
"6","2","Beritola","Beritola","PROPN","SP","_","1","flat:name","_","SpaceAfter=No",,
"24","20","Lunigiana","Lunigiana","PROPN","SP","_","18","obl","_","SpaceAfter=No",,
"29","25","de","de","PROPN","SP","_","34","nsubj","_","SpaceAfter=No",,
"56","1","Cicilia","Cicilia","PROPN","SP","_","26","nsubj","_","_",,
"62","6","Carlo","Carlo","PROPN","SP","_","5","nmod","_","_",,
"108","14","Andreuccio","Andreuccio","PROPN","SP","_","12","nmod","_","_",,
"112","17","Fiammetta","Fiammetta","PROPN","SP","_","8","nmod","_","_",,
"116","21","Emilia","Emilia","PROPN","SP","_","34","nsubj","_","SpaceAfter=No",,
"284","12","Federigo","Federigo","PROPN","SP","_","10","nmod","_","_",,
"290","18","Cicilia","Cicilia","PROPN","SP","_","16","nmod","_","_",,
"292","20","Manfredi","Manfrede","PROPN","SP","_","19","conj","_","SpaceAfter=No",,
"305","33","Napoli","Napoli","PROPN","SP","_","31","nmod","_","_",,
"307","35","Arrighetto","Arrighetto","PROPN","SP","_","42","nsubj","_","_",,
"308","36","Capece","Capece","PROPN","SP","_","35","flat:name","_","SpaceAfter=No",,
"325","53","Beritola","Beritola","PROPN","SP","_","52","nmod","_","_",,
"326","54","Caracciola","Caracciola","PROPN","SP","_","53","flat:name","_","SpaceAfter=No",,
"333","3","Arrighetto","Arrighetto","PROPN","SP","_","0","root","_","SpaceAfter=No",,
"351","19","Carlo","Carlo","PROPN","SP","_","18","nmod","_","_",,
"355","23","Benevento","Benevento","PROPN","SP","_","21","obl","_","_",,
"359","27","Manfredi","Manfrede","PROPN","SP","_","26","obj","_","SpaceAfter=No",,
"364","32","Regno","Regno","PROPN","SP","_","36","obl","_","_",,
"424","19","Manfredi","Manfredio","PROPN","SP","_","18","nmod","_","_",,
"433","27","Carlo","Carlo","PROPN","SP","_","26","nmod","_","_",,
"446","1","Madama","Madama","PROPN","SP","_","10","nsubj","_","_",,
"447","2","Beritola","Beritola","PROPN","SP","_","1","flat:name","_","_",,
"492","47","Giuffredi","Giuffrede","PROPN","SP","_","46","xcomp","_","SpaceAfter=No",,
"506","61","Lipari","Liparo","PROPN","SP","_","59","obl","_","SpaceAfter=No",,
"520","75","Scacciato","Scacciato","PROPN","SP","_","73","obj","_","SpaceAfter=No",,
"542","17","Napoli","Napoli","PROPN","SP","_","13","obl","_","_",,
"574","13","Napoli","Napoli","PROPN","SP","_","15","obl","_","_",,
"585","23","Ponzo","Ponzo","PROPN","SP","_","21","nmod","_","SpaceAfter=No",,
"610","1","Madama","madama","PROPN","SP","_","0","root","_","_",,
"611","2","Beritola","Beritola","PROPN","SP","_","1","flat:name","_","SpaceAfter=No",,
"702","1","Madama","madama","PROPN","SP","_","28","nsubj","_","_",,
"703","2","Beritola","Beritola","PROPN","SP","_","1","flat:name","_","SpaceAfter=No",,
"1303","9","Currado","Currado","PROPN","SP","_","8","xcomp","_","_",,
"1307","13","Malespini","Malespini","PROPN","SP","_","9","flat:name","_","_",,
"1332","37","Puglia","Puglia","PROPN","SP","_","35","nmod","_","_",,
"1387","42","Beritola","Beritola","PROPN","SP","_","43","nsubj","_","_",,
"1392","47","Currado","Currado","PROPN","SP","_","45","nmod","_","_",,
"1431","22","Beritola","Beritola","PROPN","SP","_","21","nsubj","_","SpaceAfter=No",,
"1459","3","Currado","Currado","PROPN","SP","_","0","root","_","_",,
"1506","10","Currado","Currado","PROPN","SP","_","21","obj","_","_",,
"1555","4","Currado","Currado","PROPN","SP","_","3","obj","_","SpaceAfter=No",,
"1560","9","Arrighetto","Arrighetto","PROPN","SP","_","4","acl:relcl","_","_",,
"1561","10","Capece","Capece","PROPN","SP","_","9","flat:name","_","_",,
"1610","55","Idio","Idio","PROPN","SP","_","60","nsubj","_","_",,
"1633","11","Currado","Currado","PROPN","SP","_","14","nsubj","_","_",,
"1692","13","Beritola","Beritola","PROPN","SP","_","12","nmod","_","_",,
"1756","29","Lunigiana","Lunigiana","PROPN","SP","_","27","obl","_","_",,
"1802","9","Beritola","Beritola","PROPN","SP","_","8","nmod","_","_",,
"1804","11","Currado","Currado","PROPN","SP","_","8","nmod","_","_",,
"1843","49","Cavriuola","Cavriuola","PROPN","SP","_","50","nsubj","_","_",,
"1862","12","Magra","Magra","PROPN","SP","_","9","nmod","_","_",,
