"V0","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12"
"8","4","Babilonia","Babilonia","PROPN","SP","_","2","nmod","_","_",,
"23","17","Garbo","Garbo","PROPN","SP","_","14","nmod","_","SpaceAfter=No",,
"69","17","Garbo","Garbo","PROPN","SP","_","14","nmod","_","SpaceAfter=No",,
"90","10","Emilia","Emilia","PROPN","SP","_","8","nmod","_","_",,
"107","26","Beritola","Beritola","PROPN","SP","_","25","nmod","_","_",,
"132","15","Panfilo","Panfilo","PROPN","SP","_","16","nsubj","_","_",,
"566","8","Babillonia","Babillonia","PROPN","SP","_","11","obl","_","_",,
"575","17","Beminedab","Beminedab","PROPN","SP","_","16","conj","_","SpaceAfter=No",,
"613","18","Alatiel","Alatiel","PROPN","SP","_","17","xcomp","_","SpaceAfter=No",,
"682","34","Garbo","Garbo","PROPN","SP","_","31","nmod","_","SpaceAfter=No",,
"738","37","Dio","dio","PROPN","SP","_","35","obl","_","SpaceAfter=No",,
"765","22","Allessandria","Allessandria","PROPN","SP","_","20","nmod","_","_",,
"781","5","Sardigna","Sardigna","PROPN","SP","_","3","obj","_","_",,
"922","55","Maiolica","Maiolica","PROPN","SP","_","53","obl","_","SpaceAfter=No",,
"1141","69","Maiolica","Maiolica","PROPN","SP","_","67","nmod","_","_",,
"1510","25","Pericon","Pericon","PROPN","SP","_","0","root","_","_",,
"1512","27","Visalgo","Visalgo","PROPN","SP","_","25","nmod","_","SpaceAfter=No",,
"1663","14","Pericone","Pericone","PROPN","SP","_","12","obl","_","_",,
"1789","30","Pericone","Pericone","PROPN","SP","_","27","nmod","_","SpaceAfter=No",,
"1833","2","Pericone","Pericone","PROPN","SP","_","3","nsubj","_","_",,
"1948","18","Pericone","Pericone","PROPN","SP","_","16","nmod","_","SpaceAfter=No",,
"2015","61","Perdicon","Perdicon","PROPN","SP","_","59","nmod","_","_",,
"2137","1","Perdicone","Perdicone","PROPN","SP","_","8","nsubj:pass","_","SpaceAfter=No",,
"2234","41","Venere","Venere","PROPN","SP","_","39","nmod","_","SpaceAfter=No",,
"2374","21","Maiolica","Maiolica","PROPN","SP","_","19","nmod","_","_",,
"2390","4","Pericone","Pericone","PROPN","SP","_","3","obj","_","SpaceAfter=No",,
"2464","16","Pericone","Pericone","PROPN","SP","_","34","nsubj","_","_",,
"2497","1","Pericone","Pericone","PROPN","SP","_","3","nsubj","_","_",,
"2575","31","Pericone","Pericone","PROPN","SP","_","29","nmod","_","_",,
"2617","6","Pericone","Pericone","PROPN","SP","_","4","nmod","_","_",,
"2655","2","Pericone","Pericone","PROPN","SP","_","1","obj","_","_",,
"2675","22","Marato","Marato","PROPN","SP","_","2","flat:name","_","SpaceAfter=No",,
"2736","54","Pericone","Pericone","PROPN","SP","_","53","flat:name","_","SpaceAfter=No",,
"2787","24","Romania","Romania","PROPN","SP","_","20","obl","_","SpaceAfter=No",,
"2823","4","Marato","Marato","PROPN","SP","_","6","nsubj","_","_",,
"2863","21","Pericone","Pericone","PROPN","SP","_","19","nmod","_","SpaceAfter=No",,
