"V0","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12"
"48","28","Inghilterra","Inghilterra","PROPN","SP","_","26","nmod","_","SpaceAfter=No",,
"83","8","Rinaldo","Rinaldo","PROPN","SP","_","6","nmod","_","_",,
"85","10","Asti","Asti","PROPN","SP","_","8","nmod","_","_",,
"100","24","Idio","Idio","PROPN","SP","_","22","conj","_","_",,
"103","27","Giuliano","Giuliano","PROPN","SP","_","28","nsubj","_","_",,
"144","25","Idio","Idio","PROPN","SP","_","30","nsubj","_","_",,
"169","15","Pampinea","Pampinea","PROPN","SP","_","13","nsubj","_","SpaceAfter=No",,
"176","22","Filostrato","Filostrato","PROPN","SP","_","20","obl","_","_",,
"418","14","Tebaldo","Tebaldo","PROPN","SP","_","8","nmod","_","SpaceAfter=No",,
"432","27","Lamberti","Lamberti","PROPN","SP","_","17","conj","_","SpaceAfter=No",,
"443","37","Agolanti","Agolante","PROPN","SP","_","34","obl","_","SpaceAfter=No",,
"465","58","Agolanti","Agolante","PROPN","SP","_","60","nsubj","_","_",,
"517","36","Lamberto","Lamberto","PROPN","SP","_","35","nmod","_","SpaceAfter=No",,
"521","40","Tedaldo","Tedaldo","PROPN","SP","_","34","obj","_","_",,
"525","44","Agolante","Agolante","PROPN","SP","_","40","conj","_","SpaceAfter=No",,
"545","64","Tebaldo","Tebaldo","PROPN","SP","_","68","nsubj","_","_",,
"743","5","Lamberto","Lamberto","PROPN","SP","_","14","nsubj","_","SpaceAfter=No",,
"846","10","Firenze","Firenze","PROPN","SP","_","8","nmod","_","_",,
"855","19","Inghilterra","Inghilterra","PROPN","SP","_","17","obl","_","SpaceAfter=No",,
"862","26","Londra","Londra","PROPN","SP","_","24","obl","_","_",,
"915","16","Firenze","Firenze","PROPN","SP","_","14","nmod","_","_",,
"945","43","Inghilterra","Inghilterra","PROPN","SP","_","26","conj","_","_",,
"962","60","Allessandro","Allessandro","PROPN","SP","_","59","nmod","_","SpaceAfter=No",,
"972","70","Firenze","Firenze","PROPN","SP","_","68","nmod","_","SpaceAfter=No",,
"1032","12","Alessandro","Alessandro","PROPN","SP","_","8","obl","_","_",,
"1083","20","Inghilterra","Inghilterra","PROPN","SP","_","17","nmod","_","SpaceAfter=No",,
"1097","34","Inghilterra","Inghilterra","PROPN","SP","_","32","obl","_","_",,
"1149","14","Alessandro","Alessandro","PROPN","SP","_","12","obl","_","SpaceAfter=No",,
"1191","26","Alessandro","Alessandro","PROPN","SP","_","24","obl","_","SpaceAfter=No",,
"1198","33","Alessandro","Alessandro","PROPN","SP","_","39","nsubj","_","_",,
"1213","47","Firenze","Firenze","PROPN","SP","_","56","obl","_","_",,
"1330","1","Alessandro","Alessandro","PROPN","SP","_","0","root","_","SpaceAfter=No",,
"1335","6","Inghilterra","Inghilterra","PROPN","SP","_","4","obl","_","_",,
"1372","40","Italia","Italia","PROPN","SP","_","37","obl","_","SpaceAfter=No",,
"1388","5","Bruggia","Bruggia","PROPN","SP","_","3","nmod","_","_",,
"1436","51","Alessandro","Alessandro","PROPN","SP","_","49","nmod","_","_",,
"1454","3","Alessandro","Alessandro","PROPN","SP","_","1","obj","_","_",,
"1514","22","Inghilterra","Inghilterra","PROPN","SP","_","20","nmod","_","SpaceAfter=No",,
"1541","49","Roma","Roma","PROPN","SP","_","47","nmod","_","_",,
"1547","54","Santo","Santo","PROPN","SP","_","51","obl","_","_",,
"1548","55","Padre","Padre","PROPN","SP","_","54","flat:name","_","_",,
"1630","39","Alessandro","Alessandro","PROPN","SP","_","62","nsubj:pass","_","SpaceAfter=No",,
"1712","4","Alessandro","Alessandro","PROPN","SP","_","9","nsubj","_","_",,
"1823","80","Idio","Idio","PROPN","SP","_","77","nsubj","_","_",,
"1847","7","Toscana","Toscana","PROPN","SP","_","11","nsubj","_","_",,
"1871","1","Alessandro","Alessandro","PROPN","SP","_","3","nmod","_","_",,
"1912","19","Alessandro","Alessandro","PROPN","SP","_","18","nmod","_","SpaceAfter=No",,
"1944","8","Alessandro","Alessandro","PROPN","SP","_","10","nsubj","_","_",,
"2039","57","Alessandro","Alessandro","PROPN","SP","_","58","nsubj","_","_",,
"2140","3","Alessandro","Alessandro","PROPN","SP","_","4","nsubj","_","_",,
"2286","1","Alessandro","Alessandro","PROPN","SP","_","19","nsubj","_","SpaceAfter=No",,
"2340","22","Allessandro","Allessandro","PROPN","SP","_","20","conj","_","_",,
"2347","29","Allessandro","Allessandro","PROPN","SP","_","33","nsubj","_","_",,
"2373","2","Idio","Idio","PROPN","SP","_","4","nsubj","_","_",,
"2430","24","Alessandro","Alessandro","PROPN","SP","_","23","xcomp","_","_",,
"2492","3","Alessandro","Alessandro","PROPN","SP","_","5","obl","_","_",,
"2532","13","Alessandro","Alessandro","PROPN","SP","_","14","nsubj","_","_",,
"2563","18","Allessandro","Allessandro","PROPN","SP","_","16","nmod","_","SpaceAfter=No",,
"2578","2","Alessandro","Alessandro","PROPN","SP","_","4","nsubj","_","SpaceAfter=No",,
"2602","1","Alessandro","Alessandro","PROPN","SP","_","3","nsubj","_","SpaceAfter=No",,
"2716","10","Papa","Papa","PROPN","SP","_","11","obl","_","_",,
"2746","22","Amore","Amore","PROPN","SP","_","20","nmod","_","SpaceAfter=No",,
"2802","22","Alessandro","Alessandro","PROPN","SP","_","3","nsubj","_","SpaceAfter=No",,
"2877","17","Nostro","nostro","PROPN","SP","_","20","nsubj","_","_",,
"2878","18","Signore","signore","PROPN","SP","_","17","flat:name","_","_",,
"2940","17","Alessandro","Alessandro","PROPN","SP","_","19","nsubj","_","_",,
"2986","61","Roma","Roma","PROPN","SP","_","59","obl","_","SpaceAfter=No",,
"3009","19","Alessandro","Alessandro","PROPN","SP","_","16","conj","_","_",,
"3016","25","Papa","Papa","PROPN","SP","_","22","obl","_","SpaceAfter=No",,
"3034","2","Santo","santo","PROPN","SP","_","0","root","_","_",,
"3035","3","Padre","padre","PROPN","SP","_","2","flat:name","_","SpaceAfter=No",,
"3114","36","Inghilterra","Inghilterra","PROPN","SP","_","34","nmod","_","_",,
"3125","46","Scozia","Scozia","PROPN","SP","_","44","nmod","_","_",,
"3175","11","Scozia","Scozia","PROPN","SP","_","9","nmod","_","_",,
"3229","6","Idio","Idio","PROPN","SP","_","3","conj","_","SpaceAfter=No",,
"3276","9","Allessandro","Allessandro","PROPN","SP","_","8","obj","_","_",,
"3393","71","Santità","Santità","PROPN","SP","_","66","conj","_","SpaceAfter=No",,
"3405","83","Alessandro","Alessandro","PROPN","SP","_","80","nmod","_","_",,
"3414","91","Dio","Dio","PROPN","SP","_","89","nmod","_","_",,
"3506","69","Maravigliossi","Maravigliossi","PROPN","SP","_","56","nmod","_","_",,
"3507","70","Alessandro","Alessandro","PROPN","SP","_","69","flat:name","_","_",,
"3518","80","Inghilterra","Inghilterra","PROPN","SP","_","78","nmod","_","_",,
"3553","23","Papa","Papa","PROPN","SP","_","25","obl","_","_",,
"3559","29","Alessandro","Alessandro","PROPN","SP","_","27","obl","_","_",,
"3576","5","Papa","Papa","PROPN","SP","_","7","nsubj","_","_",,
"3638","19","Alessandro","Alessandro","PROPN","SP","_","16","conj","_","_",,
"3711","59","Alessandro","Alessandro","PROPN","SP","_","69","nsubj","_","_",,
"3776","3","Alessandro","Alessandro","PROPN","SP","_","1","obl","_","_",,
"3785","11","Roma","Roma","PROPN","SP","_","3","nmod","_","_",,
"3793","18","Firenze","Firenze","PROPN","SP","_","16","obl","_","SpaceAfter=No",,
"3857","10","Alessandro","Alessandro","PROPN","SP","_","7","nmod","_","_",,
"3867","19","Agolante","Agolante","PROPN","SP","_","16","obj","_","SpaceAfter=No",,
"3872","24","Firenze","Firenze","PROPN","SP","_","22","obl","_","SpaceAfter=No",,
"3876","28","Parigi","Parigi","PROPN","SP","_","22","conj","_","_",,
"3895","7","Inghilterra","Inghilterra","PROPN","SP","_","5","nmod","_","_",,
"3940","16","Cornovaglia","Cornovaglia","PROPN","SP","_","14","nmod","_","SpaceAfter=No",,
"3993","25","Agolante","Agolante","PROPN","SP","_","26","nsubj","_","_",,
"4009","41","Firenze","Firenze","PROPN","SP","_","39","obl","_","SpaceAfter=No",,
"4015","47","Alessandro","Alessandro","PROPN","SP","_","46","nmod","_","_",,
"4059","36","Scozia","Scozia","PROPN","SP","_","33","obj","_","_",,
