"V0","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12"
"8","4","Anguersa","anguersa","PROPN","SP","_","2","nmod","_","SpaceAfter=No",,
"25","21","Inghilterra","Inghilterra","PROPN","SP","_","19","nmod","_","SpaceAfter=No",,
"33","29","Scozia","Scozia","PROPN","SP","_","27","nmod","_","SpaceAfter=No",,
"56","11","Francia","Francia","PROPN","SP","_","9","nmod","_","SpaceAfter=No",,
"150","19","Panfilo","Panfilo","PROPN","SP","_","17","nmod","_","_",,
"166","35","Elissa","Elissa","PROPN","SP","_","20","obl","_","_",,
"273","7","Roma","Roma","PROPN","SP","_","5","nmod","_","_",,
"323","55","Francia","Francia","PROPN","SP","_","53","nmod","_","_",,
"377","17","Gualtieri","Gualtieri","PROPN","SP","_","16","obj","_","_",,
"380","20","Anguersa","anguersa","PROPN","SP","_","17","flat:name","_","_",,
"438","74","Francia","Francia","PROPN","SP","_","72","nmod","_","_",,
"456","3","Gualtieri","Gualtieri","PROPN","SP","_","1","obj","_","_",,
"511","4","Gualtieri","Gualtieri","PROPN","SP","_","3","nmod","_","_",,
"584","9","Francia","Francia","PROPN","SP","_","7","nmod","_","_",,
"602","25","Gualtieri","Gualtieri","PROPN","SP","_","23","nmod","_","_",,
"1312","36","Amore","amore","PROPN","SP","_","38","nsubj:pass","_","_",,
"1398","34","Francia","Francia","PROPN","SP","_","32","nmod","_","_",,
"1727","2","Aiuto","aiuto","PROPN","SP","_","0","root","_","SpaceAfter=No",,
"1738","5","Anguersa","anguersa","PROPN","SP","_","3","nmod","_","_",,
"1843","87","Calese","Calese","PROPN","SP","_","85","obl","_","SpaceAfter=No",,
"2041","26","Calese","Calese","PROPN","SP","_","24","nmod","_","SpaceAfter=No",,
"2046","31","Inghilterra","Inghilterra","PROPN","SP","_","29","obl","_","_",,
"2054","39","Londra","Londra","PROPN","SP","_","37","obl","_","SpaceAfter=No",,
"2149","6","Luigi","Luigi","PROPN","SP","_","5","conj","_","SpaceAfter=No",,
"2163","20","Violante","Violante","PROPN","SP","_","19","obj","_","SpaceAfter=No",,
"2231","28","Perotto","Perotto","PROPN","SP","_","27","nmod","_","_",,
"2233","30","Giannetta","Giannetta","PROPN","SP","_","28","conj","_","_",,
"2245","6","Londra","Londra","PROPN","SP","_","4","obl","_","SpaceAfter=No",,
"2304","34","Inghilterra","Inghilterra","PROPN","SP","_","32","nmod","_","SpaceAfter=No",,
"2351","9","Piccardia","Piccardia","PROPN","SP","_","5","obl","_","_",,
"2518","27","Perotto","Perotto","PROPN","SP","_","24","conj","_","_",,
"2521","30","Gales","Gales","PROPN","SP","_","28","nmod","_","_",,
"2625","32","Perotto","Perotto","PROPN","SP","_","34","nsubj","_","_",,
"2732","19","Idio","Idio","PROPN","SP","_","21","obl","_","_",,
"2772","19","Inghilterra","Inghilterra","PROPN","SP","_","17","obl","_","SpaceAfter=No",,
"2783","30","Irlanda","Irlanda","PROPN","SP","_","28","obl","_","SpaceAfter=No",,
"2788","35","Stanforda","Stanforda","PROPN","SP","_","47","obl","_","SpaceAfter=No",,
"2840","1","Violante","Violante","PROPN","SP","_","13","nsubj:pass","_","SpaceAfter=No",,
"2843","4","Giannetta","Giannetta","PROPN","SP","_","3","xcomp","_","SpaceAfter=No",,
"2850","11","Londra","Londra","PROPN","SP","_","9","nmod","_","_",,
"2993","2","Idio","Idio","PROPN","SP","_","18","nsubj","_","SpaceAfter=No",,
"3045","22","Egli","Egli","PROPN","SP","_","21","nsubj","_","_",,
"3063","10","Giannetta","Giannetta","PROPN","SP","_","11","nsubj","_","_",,
"3134","11","Giannetta","Giannetta","PROPN","SP","_","24","nsubj","_","_",,
"3392","36","Giannetta","Giannetta","PROPN","SP","_","33","conj","_","SpaceAfter=No",,
"3498","3","Giannetta","Giannetta","PROPN","SP","_","4","obl","_","_",,
"3545","29","Giannetta","Giannetta","PROPN","SP","_","27","obj","_","_",,
"3663","23","Giannetta","Giannetta","PROPN","SP","_","20","nmod","_","_",,
"3765","44","Giannetta","Giannetta","PROPN","SP","_","42","obj","_","_",,
"3806","2","Figliuol","Figliuol","PROPN","SP","_","9","obl","_","_",,
"3894","12","Domenedio","Domenedio","PROPN","SP","_","15","nsubj:pass","_","_",,
"4178","2","Madama","Madama","PROPN","SP","_","10","nsubj","_","SpaceAfter=No",,
"4347","2","Madama","Madama","PROPN","SP","_","5","nsubj","_","SpaceAfter=No",,
"4366","20","Giannetta","Giannetta","PROPN","SP","_","16","nmod","_","_",,
"4457","2","Ahi","Ahi","PROPN","SP","_","0","root","_","SpaceAfter=No",,
"4542","6","Giannetta","Giannetta","PROPN","SP","_","4","nmod","_","_",,
"4561","2","Giannetta","Giannetta","PROPN","SP","_","8","nsubj","_","SpaceAfter=No",,
"4573","2","Madama","Madama","PROPN","SP","_","16","nsubj","_","SpaceAfter=No",,
"4682","4","Giannetta","Giannetta","PROPN","SP","_","5","nsubj","_","_",,
"4689","2","Madama","Madama","PROPN","SP","_","0","root","_","SpaceAfter=No",,
"4846","4","Giannetta","Giannetta","PROPN","SP","_","0","root","_","SpaceAfter=No",,
"4894","2","Forza","Forza","PROPN","SP","_","5","nsubj","_","_",,
"5047","13","Giannetta","Giannetta","PROPN","SP","_","10","nmod","_","SpaceAfter=No",,
"5115","4","Giannetta","Giannetta","PROPN","SP","_","6","nsubj:pass","_","_",,
"5124","13","Idio","Idio","PROPN","SP","_","12","obj","_","_",,
"5180","6","Gales","Gales","PROPN","SP","_","16","obl","_","_",,
"5190","14","Inghilterra","Inghilterra","PROPN","SP","_","12","nmod","_","_",,
"5272","3","Idio","Idio","PROPN","SP","_","9","obl","_","_",,
"5391","46","Perotto","Perotto","PROPN","SP","_","45","nmod","_","SpaceAfter=No",,
"5459","12","Inghilterra","Inghilterra","PROPN","SP","_","10","nmod","_","_",,
"5469","22","Perotto","Perotto","PROPN","SP","_","20","nmod","_","_",,
"5504","14","Anguersa","anguersa","PROPN","SP","_","12","nmod","_","_",,
"5525","12","Anguersa","anguersa","PROPN","SP","_","10","nmod","_","_",,
"5528","15","Parigi","Parigi","PROPN","SP","_","10","nmod","_","_",,
"5538","25","Irlanda","Irlanda","PROPN","SP","_","23","obl","_","SpaceAfter=No",,
"5641","59","Inghilterra","Inghilterra","PROPN","SP","_","57","obl","_","_",,
"5648","66","Perotto","Perotto","PROPN","SP","_","67","nsubj","_","_",,
"5699","20","Giannetta","Giannetta","PROPN","SP","_","17","obl","_","SpaceAfter=No",,
"5716","13","Londra","Londra","PROPN","SP","_","14","obl","_","_",,
"5748","24","Giannetta","Giannetta","PROPN","SP","_","22","obj","_","_",,
"5811","26","Giachetto","Giachetto","PROPN","SP","_","24","nmod","_","_",,
"5812","27","Lamiens","Lamiens","PROPN","SP","_","26","flat:name","_","SpaceAfter=No",,
"5823","37","Giannetta","Giannetta","PROPN","SP","_","34","nmod","_","SpaceAfter=No",,
