"V0","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12"
"5","1","Landolfo","Landolfo","PROPN","SP","_","0","root","_","_",,
"6","2","Rufolo","Rufolo","PROPN","SP","_","1","flat:name","_","SpaceAfter=No",,
"32","28","Gurfo","Gurfo","PROPN","SP","_","1","conj","_","_",,
"49","2","Lauretta","Lauretta","PROPN","SP","_","5","nsubj","_","_",,
"51","4","Pampinea","Pampinea","PROPN","SP","_","3","nmod","_","_",,
"118","35","Pampinea","Pampinea","PROPN","SP","_","33","nmod","_","_",,
"127","43","Alessandro","Alessandro","PROPN","SP","_","38","xcomp","_","_",,
"222","6","Reggio","Reggio","PROPN","SP","_","4","nmod","_","_",,
"224","8","Gaeta","Gaeta","PROPN","SP","_","4","nmod","_","_",,
"232","16","Italia","Italia","PROPN","SP","_","14","nmod","_","SpaceAfter=No",,
"241","24","Salerno","Salerno","PROPN","SP","_","27","nsubj","_","_",,
"258","41","Amalfi","Amalfi","PROPN","SP","_","39","nmod","_","SpaceAfter=No",,
"295","8","Ravello","Ravello","PROPN","SP","_","7","nmod","_","SpaceAfter=No",,
"322","34","Landolfo","Landolfo","PROPN","SP","_","33","nsubj:pass","_","_",,
"323","35","Rufolo","Rufolo","PROPN","SP","_","34","flat:name","_","SpaceAfter=No",,
"393","38","Cipri","Ciprio","PROPN","SP","_","34","nmod","_","SpaceAfter=No",,
"775","5","Arcipelago","arcipelago","PROPN","SP","_","0","root","_","_",,
"864","17","Costantinopoli","Costantinopoli","PROPN","SP","_","15","obl","_","SpaceAfter=No",,
"870","23","Landolfo","Landolfo","PROPN","SP","_","25","nsubj","_","_",,
"999","23","Landolfo","Landolfo","PROPN","SP","_","21","nmod","_","_",,
"1036","11","Landolfo","Landolfo","PROPN","SP","_","10","nmod","_","_",,
"1071","13","Ponente","Ponente","PROPN","SP","_","5","conj","_","_",,
"1142","18","Landolfo","Landolfo","PROPN","SP","_","9","acl:relcl","_","_",,
"1153","28","Cifalonia","Cifalonia","PROPN","SP","_","26","nmod","_","_",,
"1254","6","Landolfo","Landolfo","PROPN","SP","_","5","nmod","_","SpaceAfter=No",,
"1319","22","Idio","Idio","PROPN","SP","_","30","nsubj","_","SpaceAfter=No",,
"1504","40","Landolfo","Landolfo","PROPN","SP","_","42","nsubj","_","_",,
"1513","49","Landolfo","Landolfo","PROPN","SP","_","52","nsubj","_","_",,
"1717","61","Gurfo","Gurfo","PROPN","SP","_","59","nmod","_","SpaceAfter=No",,
"2143","12","Idio","Idio","PROPN","SP","_","11","obj","_","_",,
"2296","8","Brandizio","Brandizio","PROPN","SP","_","6","obl","_","SpaceAfter=No",,
"2309","21","Trani","Trani","PROPN","SP","_","18","obl","_","SpaceAfter=No",,
"2328","40","Dio","Dio","PROPN","SP","_","38","nmod","_","_",,
"2364","74","Ravello","Ravello","PROPN","SP","_","67","conj","_","SpaceAfter=No",,
"2390","8","Idio","Idio","PROPN","SP","_","7","obj","_","_",,
"2465","12","Gurfo","Gurfo","PROPN","SP","_","8","nmod","_","_",,
"2498","43","Trani","Trani","PROPN","SP","_","41","obl","_","_",,
