"V0","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12"
"5","1","Paganino","Paganare","PROPN","SP","_","4","nsubj","_","_",,
"7","3","Monaco","Monaco","PROPN","SP","_","1","nmod","_","_",,
"13","9","Ricciardo","Ricciardo","PROPN","SP","_","8","obj","_","_",,
"15","11","Chinzica","Chinzica","PROPN","SP","_","9","nmod","_","SpaceAfter=No",,
"31","27","Paganino","Paganino","PROPN","SP","_","25","nmod","_","SpaceAfter=No",,
"61","11","Ricciardo","Ricciardo","PROPN","SP","_","16","conj","_","SpaceAfter=No",,
"65","15","Paganin","Paganin","PROPN","SP","_","13","nmod","_","_",,
"175","7","Bernabò","Bernabò","PROPN","SP","_","5","nmod","_","SpaceAfter=No",,
"342","4","Pisa","Pisa","PROPN","SP","_","6","nmod","_","_",,
"360","22","Riccardo","Riccardo","PROPN","SP","_","21","obj","_","_",,
"362","24","Chinzica","Chinzica","PROPN","SP","_","22","nmod","_","SpaceAfter=No",,
"442","12","Gualandi","Gualandi","PROPN","SP","_","11","obl","_","_",,
"454","24","Bartolomea","Bartolomea","PROPN","SP","_","19","nmod","_","SpaceAfter=No",,
"470","38","Pisa","Pisa","PROPN","SP","_","36","nmod","_","SpaceAfter=No",,
"615","39","Ravenna","Ravenna","PROPN","SP","_","37","obl","_","SpaceAfter=No",,
"694","72","Signore","signore","PROPN","SP","_","69","nmod","_","_",,
"809","11","Riccardo","Riccardo","PROPN","SP","_","13","nsubj:pass","_","_",,
"827","28","Nero","Nero","PROPN","SP","_","27","nmod","_","SpaceAfter=No",,
"930","15","Paganin","Paganin","PROPN","SP","_","13","nmod","_","_",,
"932","17","Mare","Mare","PROPN","SP","_","15","nmod","_","SpaceAfter=No",,
"963","10","Paganin","Paganin","PROPN","SP","_","12","nsubj","_","_",,
"994","18","Riccardo","Riccardo","PROPN","SP","_","30","nsubj","_","_",,
"1051","7","Pisa","Pisa","PROPN","SP","_","1","conj","_","_",,
"1084","2","Paganino","Paganino","PROPN","SP","_","4","obl","_","SpaceAfter=No",,
"1177","54","Monaco","Monaco","PROPN","SP","_","55","obl","_","_",,
"1204","80","Paganino","Paganino","PROPN","SP","_","73","obl","_","SpaceAfter=No",,
"1210","86","Monaco","Monaco","PROPN","SP","_","83","conj","_","_",,
"1250","11","Riccardo","Riccardo","PROPN","SP","_","8","nmod","_","_",,
"1308","11","Monaco","Monaco","PROPN","SP","_","9","obl","_","_",,
"1323","26","Paganino","Paganino","PROPN","SP","_","24","nmod","_","_",,
"1342","5","Riccardo","Riccardo","PROPN","SP","_","4","nmod","_","SpaceAfter=No",,
