"V0","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12"
"7","3","Perugia","Perugia","PROPN","SP","_","1","obl","_","SpaceAfter=No",,
"11","7","Napoli","Napoli","PROPN","SP","_","5","obl","_","_",,
"44","5","Landolfo","Landolfo","PROPN","SP","_","3","nmod","_","_",,
"49","10","Fiammetta","Fiammetta","PROPN","SP","_","8","obj","_","SpaceAfter=No",,
"86","43","Lauretta","Lauretta","PROPN","SP","_","40","nmod","_","SpaceAfter=No",,
"129","10","Perugia","Perugia","PROPN","SP","_","7","obl","_","_",,
"136","17","Andreuccio","Andreuccio","PROPN","SP","_","12","nmod","_","_",,
"138","19","Pietro","Pietro","PROPN","SP","_","17","flat:name","_","SpaceAfter=No",,
"151","32","Napoli","Napoli","PROPN","SP","_","35","obl","_","_",,
"364","15","Andreuccio","Andreuccio","PROPN","SP","_","24","nsubj","_","SpaceAfter=No",,
"407","1","Andreuccio","Andreuccio","PROPN","SP","_","12","nsubj","_","SpaceAfter=No",,
"452","2","Andreuccio","Andreuccio","PROPN","SP","_","4","nsubj","_","_",,
"474","9","Andreuccio","Andreuccio","PROPN","SP","_","7","nmod","_","_",,
"538","11","Andreuccio","Andreuccio","PROPN","SP","_","9","obl","_","_",,
"555","28","Cicilia","Cicilia","PROPN","SP","_","24","acl:relcl","_","_",,
"565","37","Perugia","Perugia","PROPN","SP","_","31","conj","_","_",,
"638","52","Andreuccio","Andreuccio","PROPN","SP","_","55","obl","_","_",,
"673","85","Andreuccio","Andreuccio","PROPN","SP","_","86","nsubj","_","_",,
"730","2","Messere","Messere","PROPN","SP","_","16","nsubj","_","SpaceAfter=No",,
"794","41","Napoli","Napoli","PROPN","SP","_","38","obl","_","SpaceAfter=No",,
"826","2","Messere","Messere","PROPN","SP","_","12","nsubj","_","SpaceAfter=No",,
"842","18","Andreuccio","Andreuccio","PROPN","SP","_","29","nsubj","_","_",,
"893","18","Malpertugio","Malpertugio","PROPN","SP","_","17","conj","_","SpaceAfter=No",,
"971","19","Ecco","ecco","PROPN","SP","_","17","xcomp","_","_",,
"972","20","Andreuccio","Andreuccio","PROPN","SP","_","19","flat:name","_","SpaceAfter=No",,
"1022","5","Andreuccio","Andreuccio","PROPN","SP","_","7","obl","_","_",,
"1077","3","Andreuccio","Andreuccio","PROPN","SP","_","0","root","_","_",,
"1087","13","Esso","esso","PROPN","SP","_","3","flat:name","_","SpaceAfter=No",,
"1105","2","Madonna","Madonna","PROPN","SP","_","5","nsubj:pass","_","SpaceAfter=No",,
"1114","11","Ella","ella","PROPN","SP","_","44","nsubj","_","_",,
"1252","2","Andreuccio","Andreuccio","PROPN","SP","_","7","obl","_","SpaceAfter=No",,
"1326","29","Idio","Idio","PROPN","SP","_","32","nsubj","_","_",,
"1390","1","Pietro","Pietro","PROPN","SP","_","10","obl","_","SpaceAfter=No",,
"1409","20","Palermo","Palermo","PROPN","SP","_","17","obl","_","SpaceAfter=No",,
"1509","6","Pietro","Pietro","PROPN","SP","_","4","nmod","_","_",,
"1515","11","Palermo","Palermo","PROPN","SP","_","8","obl","_","_",,
"1519","15","Perugia","Perugia","PROPN","SP","_","13","obl","_","SpaceAfter=No",,
"1680","7","Palermo","Palermo","PROPN","SP","_","3","obl","_","SpaceAfter=No",,
"1706","33","Gergenti","Gergento","PROPN","SP","_","31","nmod","_","SpaceAfter=No",,
"1728","55","Palermo","Palermo","PROPN","SP","_","53","obl","_","SpaceAfter=No",,
"1750","76","Carlo","Carlo","PROPN","SP","_","75","nmod","_","SpaceAfter=No",,
"1763","8","Federigo","Federigo","PROPN","SP","_","7","nmod","_","_",,
"1780","24","Cicilia","Cicilia","PROPN","SP","_","22","obl","_","_",,
"1837","39","Carlo","Carlo","PROPN","SP","_","38","nmod","_","_",,
"1944","1","Andreuccio","Andreuccio","PROPN","SP","_","75","nsubj","_","SpaceAfter=No",,
"1988","43","Palermo","Palermo","PROPN","SP","_","41","obl","_","_",,
"2047","2","Madonna","Madonna","PROPN","SP","_","0","root","_","SpaceAfter=No",,
"2257","34","Palermo","Palermo","PROPN","SP","_","29","conj","_","_",,
"2260","37","Perugia","Perugia","PROPN","SP","_","29","conj","_","_",,
"2326","21","Andreuccio","Andreuccio","PROPN","SP","_","22","obl","_","_",,
"2366","22","Andreuccio","Andreuccio","PROPN","SP","_","20","obl","_","SpaceAfter=No",,
"2518","4","Andreuccio","Andreuccio","PROPN","SP","_","13","nsubj","_","SpaceAfter=No",,
"2574","4","Idio","Idio","PROPN","SP","_","2","nsubj","_","SpaceAfter=No",,
"2639","44","Andreuccio","Andreuccio","PROPN","SP","_","45","nsubj","_","_",,
"2730","56","Andreuccio","Andreuccio","PROPN","SP","_","53","conj","_","_",,
"2748","73","Napoli","Napoli","PROPN","SP","_","76","nsubj","_","_",,
"2851","13","Andreuccio","Andreuccio","PROPN","SP","_","12","obj","_","_",,
"2898","5","Andreuccio","Andreuccio","PROPN","SP","_","4","nmod","_","SpaceAfter=No",,
"2986","7","Andreuccio","Andreuccio","PROPN","SP","_","2","obl","_","_",,
"3043","6","Idio","Idio","PROPN","SP","_","5","nsubj","_","SpaceAfter=No",,
"3177","9","Andreuccio","Andreuccio","PROPN","SP","_","8","nmod","_","SpaceAfter=No",,
"3265","46","Palermo","Palermo","PROPN","SP","_","44","nmod","_","SpaceAfter=No",,
"3306","1","Andreuccio","Andreuccio","PROPN","SP","_","9","nsubj","_","SpaceAfter=No",,
"3521","9","Oh!","Oh!","PROPN","SP","_","3","obj","_","SpaceAfter=No",,
"3524","12","Andreuccio","Andreuccio","PROPN","SP","_","11","obj","_","_",,
"3537","3","Andreuccio","Andreuccio","PROPN","SP","_","0","root","_","SpaceAfter=No",,
"3542","8","Fiordaliso","Fiordaliso","PROPN","SP","_","7","nmod","_","SpaceAfter=No",,
"3582","22","Andreuccio","Andreuccio","PROPN","SP","_","45","nsubj","_","_",,
"3614","5","Andreuccio","Andreuccio","PROPN","SP","_","4","nsubj","_","_",,
"3639","14","Cicilia","Cicilia","PROPN","SP","_","12","nmod","_","SpaceAfter=No",,
"3721","3","Andreuccio","Andreuccio","PROPN","SP","_","16","obl","_","SpaceAfter=No",,
"3888","4","Dio","Dio","PROPN","SP","_","1","obl","_","SpaceAfter=No",,
"3983","7","Andreuccio","Andreuccio","PROPN","SP","_","2","nsubj","_","SpaceAfter=No",,
"4080","6","Andreuccio","Andreuccio","PROPN","SP","_","7","nsubj","_","_",,
"4175","17","Andreuccio","Andreuccio","PROPN","SP","_","18","obl","_","_",,
"4183","3","Dio","Dio","PROPN","SP","_","5","obl","_","SpaceAfter=No",,
"4209","8","Laonde","Laondere","PROPN","SP","_","1","nsubj","_","_",,
"4210","9","Andreuccio","Andreuccio","PROPN","SP","_","8","flat:name","_","SpaceAfter=No",,
"4326","39","Ruga","Ruga","PROPN","SP","_","37","nsubj","_","_",,
"4327","40","Catalana","Catalana","PROPN","SP","_","39","flat:name","_","_",,
"4508","15","Andreuccio","Andreuccio","PROPN","SP","_","13","nmod","_","SpaceAfter=No",,
"4523","7","Andreuccio","Andreuccio","PROPN","SP","_","8","obl","_","_",,
"4544","3","Andreuccio","Andreuccio","PROPN","SP","_","9","nsubj","_","_",,
"4579","7","Buttafuoco","Buttafuoco","PROPN","SP","_","6","nsubj","_","_",,
"4618","19","Idio","Idio","PROPN","SP","_","18","obj","_","_",,
"4735","2","Vedi","vedere","PROPN","SP","_","7","obl","_","SpaceAfter=No",,
"4790","43","Andreuccio","Andreuccio","PROPN","SP","_","49","nsubj","_","SpaceAfter=No",,
"4811","8","Napoli","Napoli","PROPN","SP","_","6","nmod","_","SpaceAfter=No",,
"4815","12","Filippo","Filippo","PROPN","SP","_","11","nmod","_","_",,
"4816","13","Minutolo","Minutolo","PROPN","SP","_","12","flat:name","_","SpaceAfter=No",,
"4855","4","Andreuccio","Andreuccio","PROPN","SP","_","6","obl","_","_",,
"4862","1","Laonde","Laonde","PROPN","SP","_","12","nsubj","_","_",,
"4863","2","Andreuccio","Andreuccio","PROPN","SP","_","1","flat:name","_","SpaceAfter=No",,
"4885","24","Andreuccio","Andreuccio","PROPN","SP","_","17","conj","_","_",,
"4958","31","Giunti","giunto","PROPN","SP","_","35","nsubj","_","_",,
"5114","9","Andreuccio","Andreuccio","PROPN","SP","_","8","nmod","_","_",,
"5158","2","Andreuccio","Andreuccio","PROPN","SP","_","4","nsubj","_","_",,
"5218","3","Andreuccio","Andreuccio","PROPN","SP","_","5","obl","_","_",,
"5372","1","Andreuccio","Andreuccio","PROPN","SP","_","2","nsubj","_","_",,
"5539","15","Andreuccio","Andreuccio","PROPN","SP","_","11","nmod","_","SpaceAfter=No",,
"5552","8","Andreuccio","Andreuccio","PROPN","SP","_","7","obj","_","SpaceAfter=No",,
"5614","1","Andreuccio","Andreuccio","PROPN","SP","_","2","nsubj","_","_",,
"5862","5","Andreuccio","Andreuccio","PROPN","SP","_","10","nsubj","_","SpaceAfter=No",,
"6202","1","Andreuccio","Andreuccio","PROPN","SP","_","10","nsubj","_","SpaceAfter=No",,
"6289","5","Andreuccio","Andreuccio","PROPN","SP","_","4","obj","_","SpaceAfter=No",,
"6403","24","Napoli","Napoli","PROPN","SP","_","22","obl","_","_",,
"6417","9","Perugia","Perugia","PROPN","SP","_","6","conj","_","_",,
